first,middle,last,pid,oid,name,party,numeric_score,percentage_score,total_votes
K.H. "Katcho",,Achadjian,5,-4,CA Chamber of Commerce Merged,Republican,1.0000,1,5
Marc,,Levine,8,-4,CA Chamber of Commerce Merged,Democrat,1.0000,1,2
Cheryl,,Brown,13,-4,CA Chamber of Commerce Merged,Democrat,1.0000,1,1
Jacqui,,Irwin,16,-4,CA Chamber of Commerce Merged,Democrat,1.0000,1,3
Mike,,Gipson,28,-4,CA Chamber of Commerce Merged,Democrat,1.0000,1,1
Melissa,,Melendez,41,-4,CA Chamber of Commerce Merged,Republican,1.0000,1,3
Tom,,Berryhill,54,-4,CA Chamber of Commerce Merged,Republican,1.0000,1,5
Jose,,Medina,81,-4,CA Chamber of Commerce Merged,Democrat,1.0000,1,4
Young,,Kim,82,-4,CA Chamber of Commerce Merged,Republican,1.0000,1,6
Bob,,Huff,105,-4,CA Chamber of Commerce Merged,Republican,1.0000,1,2
William,,Brough,111,-4,CA Chamber of Commerce Merged,Republican,1.0000,1,3
Matthew,,Harper,14,-4,CA Chamber of Commerce Merged,Republican,0.9412,0.9411764705882353,17
Jim,,Patterson,119,-4,CA Chamber of Commerce Merged,Republican,0.9412,0.9411764705882353,17
Jeff,,Stone,26,-4,CA Chamber of Commerce Merged,Republican,0.9231,0.9230769230769231,13
Brian,,Dahle,47,-4,CA Chamber of Commerce Merged,Republican,0.9091,0.9090909090909091,11
Ted,,Gaines,24,-4,CA Chamber of Commerce Merged,Republican,0.9000,0.9,20
Ling,Ling,Chang,18,-4,CA Chamber of Commerce Merged,Republican,0.8947,0.8947368421052632,38
Jay,,Obernolte,86,-4,CA Chamber of Commerce Merged,Republican,0.8889,0.8888888888888888,9
Frank,,Bigelow,91,-4,CA Chamber of Commerce Merged,Republican,0.8889,0.8888888888888888,36
John,,Moorlach,4657,-4,CA Chamber of Commerce Merged,Republican,0.8824,0.90625,17
Kristin,,Olsen,15,-4,CA Chamber of Commerce Merged,Republican,0.8750,0.875,8
Andy,,Vidak,56,-4,CA Chamber of Commerce Merged,Republican,0.8750,0.875,8
Donald,,Wagner,88,-4,CA Chamber of Commerce Merged,Republican,0.8649,0.8648648648648649,37
Brian,,Jones,42,-4,CA Chamber of Commerce Merged,Republican,0.8605,0.8604651162790697,43
Joel,,Anderson,57,-4,CA Chamber of Commerce Merged,Republican,0.8571,0.8571428571428571,14
