first,middle,last,pid,oid,name,party,numeric_score,percentage_score,total_votes
Susan,,Bonilla,3,-1,California Teacher's Association Merged,Democrat,1.0000,1,6
K.H. "Katcho",,Achadjian,5,-1,California Teacher's Association Merged,Republican,1.0000,1,1
Autumn,,Burke,6,-1,California Teacher's Association Merged,Democrat,1.0000,1,3
David,,Chiu,7,-1,California Teacher's Association Merged,Democrat,1.0000,1,3
Marc,,Levine,8,-1,California Teacher's Association Merged,Democrat,1.0000,1,4
Das,,Williams,12,-1,California Teacher's Association Merged,Democrat,1.0000,1,4
Jacqui,,Irwin,16,-1,California Teacher's Association Merged,Democrat,1.0000,1,5
Mark,,Stone,20,-1,California Teacher's Association Merged,Democrat,1.0000,1,1
Jim,,Cooper,21,-1,California Teacher's Association Merged,Democrat,1.0000,1,1
Philip,,Ting,30,-1,California Teacher's Association Merged,Democrat,1.0000,1,1
Kansen,,Chu,32,-1,California Teacher's Association Merged,Democrat,1.0000,1,1
Rudy,,Salas,34,-1,California Teacher's Association Merged,Democrat,1.0000,1,1
Adrin,,Nazarian,36,-1,California Teacher's Association Merged,Democrat,1.0000,1,4
Roger,,Hernandez,37,-1,California Teacher's Association Merged,Democrat,1.0000,1,5
Eric,,Linder,39,-1,California Teacher's Association Merged,Republican,1.0000,1,4
Travis,,Allen,43,-1,California Teacher's Association Merged,Republican,1.0000,1,1
Ken,,Cooley,45,-1,California Teacher's Association Merged,Democrat,1.0000,1,1
Mike,,Gatto,46,-1,California Teacher's Association Merged,Democrat,1.0000,1,1
Matthew,,Dababneh,50,-1,California Teacher's Association Merged,Democrat,1.0000,1,2
Lorena,,Gonzalez,53,-1,California Teacher's Association Merged,Democrat,1.0000,1,7
Bob,,Wieckowski,55,-1,California Teacher's Association Merged,Democrat,1.0000,1,2
Mark,,Leno,60,-1,California Teacher's Association Merged,Democrat,1.0000,1,3
Holly,,Mitchell,64,-1,California Teacher's Association Merged,Democrat,1.0000,1,5
Jerry,,Hill,66,-1,California Teacher's Association Merged,Democrat,1.0000,1,22
Freddie,,Rodriguez,69,-1,California Teacher's Association Merged,Democrat,1.0000,1,3
Catharine,,Baker,74,-1,California Teacher's Association Merged,Republican,1.0000,1,4
Devon,,Mathis,75,-1,California Teacher's Association Merged,Republican,1.0000,1,1
Nora,,Campos,76,-1,California Teacher's Association Merged,Democrat,1.0000,1,1
Shannon,,Grove,77,-1,California Teacher's Association Merged,Republican,1.0000,1,1
Chad,,Mayes,79,-1,California Teacher's Association Merged,Republican,1.0000,1,1
Jose,,Medina,81,-1,California Teacher's Association Merged,Democrat,1.0000,1,4
