first,middle,last,pid,oid,name,party,numeric_score,percentage_score,total_votes
Tony,,Thurmond,4,-3,Sierra Club Merged,Democrat,1.0000,1,1
Autumn,,Burke,6,-3,Sierra Club Merged,Democrat,1.0000,1,8
Evan,,Low,11,-3,Sierra Club Merged,Democrat,1.0000,1,1
Jacqui,,Irwin,16,-3,Sierra Club Merged,Democrat,1.0000,1,1
Mike,,Gipson,28,-3,Sierra Club Merged,Democrat,1.0000,1,1
Philip,,Ting,30,-3,Sierra Club Merged,Democrat,1.0000,1,9
Mike,,Gatto,46,-3,Sierra Club Merged,Democrat,1.0000,1,6
Nora,,Campos,76,-3,Sierra Club Merged,Democrat,1.0000,1,1
Reginald,,Jones-Sawyer,87,-3,Sierra Club Merged,Democrat,1.0000,1,1
Mike,,McGuire,93,-3,Sierra Club Merged,Democrat,0.9444,0.9444444444444444,18
Connie,,Leyva,62,-3,Sierra Club Merged,Democrat,0.9375,0.9375,32
Adrin,,Nazarian,36,-3,Sierra Club Merged,Democrat,0.9333,0.9333333333333333,15
Mark,,Stone,20,-3,Sierra Club Merged,Democrat,0.9250,0.925,40
Kevin,,McCarty,22,-3,Sierra Club Merged,Democrat,0.9000,0.9,40
Miguel,,Santiago,17,-3,Sierra Club Merged,Democrat,0.8947,0.8947368421052632,19
Jerry,,Hill,66,-3,Sierra Club Merged,Democrat,0.8889,0.8977272727272727,45
Jim,,Beall,92,-3,Sierra Club Merged,Democrat,0.8857,0.8857142857142857,35
Ken,,Cooley,45,-3,Sierra Club Merged,Democrat,0.8750,0.875,8
Jim,,Wood,72,-3,Sierra Club Merged,Democrat,0.8667,0.8666666666666667,60
Das,,Williams,12,-3,Sierra Club Merged,Democrat,0.8644,0.8706896551724138,59
Ricardo,,Lara,107,-3,Sierra Club Merged,Democrat,0.8611,0.8823529411764706,36
Lorena,,Gonzalez,53,-3,Sierra Club Merged,Democrat,0.8571,0.8571428571428571,14
Benjamin,,Allen,70,-3,Sierra Club Merged,Democrat,0.8500,0.85,20
Cristina,,Garcia,112,-3,Sierra Club Merged,Democrat,0.8500,0.8620689655172413,60
Tony,,Mendoza,52,-3,Sierra Club Merged,Democrat,0.8485,0.8484848484848485,33
Susan,Talamantes,Eggman,73,-3,Sierra Club Merged,Democrat,0.8400,0.84,50
Mark,,Leno,60,-3,Sierra Club Merged,Democrat,0.8333,0.8428571428571429,36
Richard,,Gordon,117,-3,Sierra Club Merged,Democrat,0.8333,0.8333333333333334,18
Anthony,,Rendon,120,-3,Sierra Club Merged,Democrat,0.8333,0.8414634146341463,42
Hannah-Beth,,Jackson,100,-3,Sierra Club Merged,Democrat,0.8140,0.8214285714285714,43
Bill,,Quirk,23,-3,Sierra Club Merged,Democrat,0.8095,0.8095238095238095,42
Jimmy,,Gomez,80,-3,Sierra Club Merged,Democrat,0.8077,0.82,52
Richard,,Bloom,2,-3,Sierra Club Merged,Democrat,0.8000,0.8,30
Roger,,Hernandez,37,-3,Sierra Club Merged,Democrat,0.8000,0.8,15
Shirley,,Weber,44,-3,Sierra Club Merged,Democrat,0.8000,0.8,40
