"VOTE STATS: For any given legislator, what is the percent of bills on which they vote Aye, and the percent of bills on which they vote No, and percent of bills on which they abstain per committee on which the legislator sits."


first,last,cid,name,total,aye,noe,abst,aye_percent,noe_percent,abs_percent
Isadore,Hall,47,Senate Standing Committee on Banking and Financial Institutions,4,4,0,0,1.0000,0.0000,0.0000
Isadore,Hall,55,Senate Standing Committee on Governmental Organization,82,79,3,0,0.9634,0.0366,0.0000
Isadore,Hall,56,Senate Standing Committee on Health,194,155,0,39,0.7990,0.0000,0.2010
Isadore,Hall,58,Senate Standing Committee on Insurance,12,12,0,0,1.0000,0.0000,0.0000
Isadore,Hall,62,Senate Standing Committee on Public Employment and Retirement,20,19,1,0,0.9500,0.0500,0.0000
Isadore,Hall,452,Senate Floor,2169,2052,11,106,0.9461,0.0051,0.0489
Richard,Bloom,3,Assembly Standing Committee on Appropriations,342,336,2,4,0.9825,0.0058,0.0117
Richard,Bloom,6,Assembly Standing Committee on Budget,15,15,0,0,1.0000,0.0000,0.0000
Richard,Bloom,7,Assembly Standing Committee on Business and Professions,89,85,0,4,0.9551,0.0000,0.0449
Richard,Bloom,13,Assembly Standing Committee on Higher Education,66,58,6,2,0.8788,0.0909,0.0303
Richard,Bloom,27,Assembly Standing Committee on Transportation,104,91,6,7,0.8750,0.0577,0.0673
Richard,Bloom,435,Assembly Floor,1782,1701,8,73,0.9545,0.0045,0.0410
Susan,Bonilla,3,Assembly Standing Committee on Appropriations,198,175,2,21,0.8838,0.0101,0.1061
Susan,Bonilla,12,Assembly Standing Committee on Health,166,140,8,18,0.8434,0.0482,0.1084
Susan,Bonilla,15,Assembly Standing Committee on Human Services,39,39,0,0,1.0000,0.0000,0.0000
Susan,Bonilla,20,Assembly Standing Committee on Local Government,62,50,1,11,0.8065,0.0161,0.1774
Susan,Bonilla,435,Assembly Floor,1782,1729,16,37,0.9703,0.0090,0.0208
Tony,Thurmond,6,Assembly Standing Committee on Budget,15,15,0,0,1.0000,0.0000,0.0000
Tony,Thurmond,8,Assembly Standing Committee on Education,135,121,8,6,0.8963,0.0593,0.0444
Tony,Thurmond,12,Assembly Standing Committee on Health,153,126,4,23,0.8235,0.0261,0.1503
Tony,Thurmond,15,Assembly Standing Committee on Human Services,68,67,0,1,0.9853,0.0000,0.0147
Tony,Thurmond,19,Assembly Standing Committee on Labor and Employment,27,27,0,0,1.0000,0.0000,0.0000
Tony,Thurmond,435,Assembly Floor,1782,1709,9,64,0.9590,0.0051,0.0359
"K.H. ""Katcho""",Achadjian,29,Assembly Standing Committee on Veterans Affairs,18,15,0,3,0.8333,0.0000,0.1667
"K.H. ""Katcho""",Achadjian,435,Assembly Floor,1782,1336,392,54,0.7497,0.2200,0.0303
Autumn,Burke,0,Assembly Standing Committee on Accountability and Administrative Review,10,10,0,0,1.0000,0.0000,0.0000
Autumn,Burke,12,Assembly Standing Committee on Health,166,154,8,4,0.9277,0.0482,0.0241
Autumn,Burke,14,Assembly Standing Committee on Housing and Community Development,35,34,0,1,0.9714,0.0000,0.0286
Autumn,Burke,28,Assembly Standing Committee on Utilities and Commerce,62,59,1,2,0.9516,0.0161,0.0323
Autumn,Burke,435,Assembly Floor,1782,1687,11,84,0.9467,0.0062,0.0471
David,Chiu,6,Assembly Standing Committee on Budget,15,15,0,0,1.0000,0.0000,0.0000
David,Chiu,12,Assembly Standing Committee on Health,166,149,7,10,0.8976,0.0422,0.0602
David,Chiu,14,Assembly Standing Committee on Housing and Community Development,35,35,0,0,1.0000,0.0000,0.0000
David,Chiu,18,Assembly Standing Committee on Judiciary,144,135,5,4,0.9375,0.0347,0.0278
David,Chiu,20,Assembly Standing Committee on Local Government,100,98,0,2,0.9800,0.0000,0.0200
David,Chiu,435,Assembly Floor,1782,1744,14,24,0.9787,0.0079,0.0135
Marc,Levine,1,Assembly Standing Committee on Aging and Long-Term Care,7,6,1,0,0.8571,0.1429,0.0000
Marc,Levine,4,"Assembly Standing Committee on Arts, Entertainment, Sports, Tourism, and Internet Media",8,8,0,0,1.0000,0.0000,0.0000
Marc,Levine,11,Assembly Standing Committee on Governmental Organization,25,23,1,1,0.9200,0.0400,0.0400
Marc,Levine,13,Assembly Standing Committee on Higher Education,66,60,6,0,0.9091,0.0909,0.0000
Marc,Levine,30,"Assembly Standing Committee on Water, Parks, and Wildlife",47,41,6,0,0.8723,0.1277,0.0000
Marc,Levine,435,Assembly Floor,1782,1690,75,17,0.9484,0.0421,0.0095
Luis,Alejo,10,Assembly Standing Committee on Environmental Safety and Toxic Materials,3,3,0,0,1.0000,0.0000,0.0000
Luis,Alejo,11,Assembly Standing Committee on Governmental Organization,25,24,0,1,0.9600,0.0000,0.0400
Luis,Alejo,18,Assembly Standing Committee on Judiciary,137,126,5,6,0.9197,0.0365,0.0438
Luis,Alejo,20,Assembly Standing Committee on Local Government,90,78,1,11,0.8667,0.0111,0.1222
Luis,Alejo,29,Assembly Standing Committee on Veterans Affairs,31,25,0,6,0.8065,0.0000,0.1935
Luis,Alejo,435,Assembly Floor,1782,1685,10,87,0.9456,0.0056,0.0488
Tom,Lackey,0,Assembly Standing Committee on Accountability and Administrative Review,10,7,3,0,0.7000,0.3000,0.0000
Tom,Lackey,6,Assembly Standing Committee on Budget,15,11,3,1,0.7333,0.2000,0.0667
