"ABSENTEEISM: Surface all instances in which a legislator has registered no votes (so abstained/not voting/no vote recorded) on all bills heard in a committee or floor session, and has registered no utterances. The goal here is to get at absenteeism."


first,last,total absent,bid,hid,date
Isadore,Hall,113
,,,CA_201520160SB145,176,2015-04-22
,,,CA_201520160SB149,176,2015-04-22
,,,CA_201520160SB243,176,2015-04-22
,,,CA_201520160SB282,176,2015-04-22
,,,CA_201520160SB291,176,2015-04-22
,,,CA_201520160SB388,176,2015-04-22
,,,CA_201520160SB435,176,2015-04-22
,,,CA_201520160SB546,176,2015-04-22
,,,CA_201520160SB586,176,2015-04-22
,,,CA_201520160SB610,176,2015-04-22
,,,CA_201520160SB26,176,2015-04-22
,,,CA_201520160SB24,141,2015-04-15
,,,CA_201520160AB216,356,2015-06-24
,,,CA_201520160AB234,356,2015-06-24
,,,CA_201520160AB248,356,2015-06-24
,,,CA_201520160AB253,356,2015-06-24
,,,CA_201520160AB614,356,2015-06-24
,,,CA_201520160AB635,356,2015-06-24
,,,CA_201520160AB648,356,2015-06-24
,,,CA_201520160AB775,356,2015-06-24
,,,CA_201520160AB941,356,2015-06-24
,,,CA_201520160AB1130,356,2015-06-24
,,,CA_201520160SB547,695,2016-01-13
,,,CA_201520160SB787,695,2016-01-13
,,,CA_201520160SB514,695,2016-01-13
,,,CA_201520160SB815,1057,2016-04-27
,,,CA_201520160SB1408,1057,2016-04-27
,,,CA_201520160AB1386,1264,2016-06-08
,,,CA_201520160AB1568,1264,2016-06-08
,,,CA_201520160AB1931,1264,2016-06-08
,,,CA_201520160AB2568,1264,2016-06-08
,,,CA_201520160AB2750,1264,2016-06-08
,,,CA_201520160AB59,1264,2016-06-08
,,,CA_201520160AB1114,1672,2016-08-22
,,,CA_201520160SCR16,600,2015-03-02
,,,CA_201520160SCR29,621,2015-03-26
,,,CA_201520160SB647,662,2015-05-18
,,,CA_201520160SB705,662,2015-05-18
,,,CA_201520160SB786,662,2015-05-18
,,,CA_201520160SB508,662,2015-05-18
,,,CA_201520160SB439,662,2015-05-18
,,,CA_201520160SB793,662,2015-05-18
,,,CA_201520160SB462,662,2015-05-18
,,,CA_201520160SB594,662,2015-05-18
,,,CA_201520160SB672,662,2015-05-18
,,,CA_201520160SB738,662,2015-05-18
,,,CA_201520160SCR55,662,2015-05-18
,,,CA_201520160SB626,662,2015-05-18
