"PARTICIPATION: Rank all 120 legislators by who, on average, makes the longest uninterrupted statements on the floor."


pid,first,last,avg_statements_words,avg_statements_time,totalStatements
44,Shirley,Weber,295.5585,100.2606,188
26,Jeff,Stone,259.1010,101.4585,386
15,Kristin,Olsen,244.1456,89.2233,103
88,Donald,Wagner,231.0435,93.3207,184
77,Shannon,Grove,228.9793,76.4690,145
83,Rocky,Chavez,223.9200,91.6000,75
68,Jim,Nielsen,221.9888,101.9525,358
74,Catharine,Baker,219.6923,76.7019,104
45,Ken,Cooley,215.8901,83.9948,191
119,Jim,Patterson,215.5476,97.0952,84
2,Richard,Bloom,190.3415,76.5691,123
99,Robert,Hertzberg,188.4840,72.2694,219
9,Luis,Alejo,187.2533,64.7533,304
4,Tony,Thurmond,182.5232,71.9205,151
87,Reginald,Jones-Sawyer,179.3379,75.6000,145
105,Bob,Huff,176.9318,61.8580,176
82,Young,Kim,173.4035,77.9649,57
108,James,Gallagher,170.9425,66.9598,174
93,Mike,McGuire,170.3418,66.6531,196
53,Lorena,Gonzalez,169.1429,62.6923,182
46,Mike,Gatto,166.7182,55.8364,110
102,Kevin,De Leon,166.1409,72.8370,816
19,Scott,Wilk,165.7692,67.3846,78
17377,Joaquin,Arambula,164.3704,74.8519,27
76,Nora,Campos,162.4684,73.1139,79
37,Roger,Hernandez,161.5130,61.6000,115
80,Jimmy,Gomez,160.0968,63.3871,124
60,Mark,Leno,159.8834,73.0929,463
67,Sebastian,Ridley-Thomas,159.2014,63.1727,139
96,Richard,Pan,158.6821,59.1852,324
86,Jay,Obernolte,158.1613,55.6452,93
40,David,Hadley,157.8353,65.6941,85
57,Joel,Anderson,157.1918,61.0685,292
70,Benjamin,Allen,156.8910,54.8942,312
38,Eduardo,Garcia,156.3077,63.1923,104
117,Richard,Gordon,155.4809,65.8473,131
10481,Steve,Glazer,155.4779,58.7500,136
85,Rob,Bonta,154.5824,58.9121,182
22,Kevin,McCarty,154.4356,57.1980,101
104,Fran,Pavley,153.7085,65.3417,199
109,Beth,Gaines,153.5769,64.2885,52
48,Ben,Hueso,151.8557,69.8926,298
42,Brian,Jones,147.3576,59.8242,165
51,Mike,Morrell,144.3564,56.6733,101
72,Jim,Wood,143.6947,50.4351,131
65,Janet,Nguyen,141.8951,58.1119,143
50,Matthew,Dababneh,140.0429,45.2857,70
