"PARTICIPATION: For each committee, rank all committee members by who, on average, makes the longest uninterrupted statements."


cid,committee name,pid,first,last,avg_statements_words,avg_statements_time,totalStatements
0,Assembly Standing Committee on Accountability and Administrative Review
,,81,Jose,Medina,113.2500,50.7500,4
,,111,William,Brough,99.0000,33.0000,1
,,109,Beth,Gaines,97.6667,38.3333,3
,,69,Freddie,Rodriguez,75.0000,22.6000,5
,,114,Jim,Frazier,56.4000,21.8000,20
,,10,Tom,Lackey,47.3333,16.2222,9
,,16,Jacqui,Irwin,42.3125,15.6875,16
,,112,Cristina,Garcia,15.1053,10.6842,19
1,Assembly Standing Committee on Aging and Long-Term Care
,,8,Marc,Levine,103.2000,36.6000,5
,,27,Adam,Gray,78.0000,30.0000,1
,,28,Mike,Gipson,62.1481,28.8889,27
,,13,Cheryl,Brown,53.0880,26.1713,216
,,89,Patty,Lopez,50.8333,20.6667,6
,,40,David,Hadley,30.2979,14.7021,47
2,Assembly Standing Committee on Agriculture
,,77,Shannon,Grove,307.0000,101.0000,1
,,75,Devon,Mathis,90.1667,32.3333,12
,,71,Bill,Dodd,67.7143,28.4286,7
,,108,James,Gallagher,49.5000,21.8158,38
,,23,Bill,Quirk,40.6923,18.0000,13
,,34,Rudy,Salas,1.0000,1.0000,1
,,16,Jacqui,Irwin,1.0000,1.0000,1
3,Assembly Standing Committee on Appropriations
,,88,Donald,Wagner,106.8873,41.8732,71
,,2,Richard,Bloom,104.7000,40.0000,20
,,78,Chris,Holden,84.8125,32.1250,16
,,108,James,Gallagher,74.4603,27.5079,63
,,38,Eduardo,Garcia,74.0435,27.2174,46
,,44,Shirley,Weber,72.6364,24.6970,33
,,3,Susan,Bonilla,72.0000,26.2222,27
,,72,Jim,Wood,62.8750,22.0938,32
,,86,Jay,Obernolte,59.6735,18.4082,49
,,42,Brian,Jones,57.6286,21.1143,35
,,73,Susan,Eggman,48.0189,15.7736,53
,,18,Ling,Chang,43.4444,15.8333,18
,,115,Ian,Calderon,42.5714,14.2857,35
,,85,Rob,Bonta,42.4800,15.1600,25
,,118,Tom,Daly,38.1250,14.5000,8
,,53,Lorena,Gonzalez,36.8348,14.9732,1120
,,23,Bill,Quirk,29.1037,13.0183,164
,,91,Frank,Bigelow,27.7687,11.6072,415
,,17,Miguel,Santiago,24.7917,8.8333,24
4,"Assembly Standing Committee on Arts, Entertainment, Sports, Tourism, and Internet Media"
,,40,David,Hadley,215.7500,95.7500,4
