,Unnamed: 0,bill_intro,committee_position,engagement,pid,pid_next,procedural,procedural_question,question,simple_label_next,text,text_next,uids,vid,weak_question
0,0.0,False,Not In Committee,False,5.0,46.0,False,False,True,Bill Author,"Mr. Chair. So that travelers are accustomed to the same hours, would this be the same hours as we have in the northern California?","Yeah it would be the same as northern California. So in northern California, if I remember this correctly.",{470958},508,False
1,1.0,False,Member,False,9.0,118.0,False,False,False,Bill Author,"If not that, shampoo and brew would work as well.",We'll pursue that later. Thank you for your suggestion. Thank you.,{3071279},4496,False
2,2.0,False,Member,False,69.0,115.0,False,False,False,Bill Author,"Yes Assembly Member. I'm a little torn. I see the issue on both sides because in my experience in the EMS, it's kind of funny, a lot of the folks from Southern California, I've been to a lot of those facilities, so I've seen firsthand what you go through the day to day operations whether it's in the morning, noon, or night., The patients that are in these facilities need the best care possible. And we're looking at one way to address it. But I think we've gotta look at how do we make this more of a profession?, How do we make it so it's not a high turnover rate where these CNAs kind of get tired of their job, don't feel appreciated because the way they're being treated or pray whatever that., So it's a combination of everything. But I think we're going in the right direction. Assembly Member Calderon I appreciate your bill. I look forward to helping you with that and I like once again I would urge folks to really see what they do their jobs, because I've been there in many of these places., Assembly talked about that lift, lifting patients. I've helped some of you CNA's back in Southern California with that lift, because you didn't have any help to take that patient out of bed, or put in him bed., And when I was there bringing somebody, taking somebody I've seen first hand how difficult it is and some of the stings you're required to do, you need more than just one body to help you. More than just you, you need somebody else., So with that I'm looking to support it and how we can also look at like once again to make this a career where people can be there 20, 30 years not just for 2 to 3 years or months for that rather and then we go again have that high turn over rate., Right, so with that I thank you for moving this bill forward.","And I appreciate your comments Mr. Rodriguez, I whole heartedly support what you're saying, and I do see this as a jobs bill. We're creating a demand and as we know when you create jobs you create the demand and private industry or somebody is going to come in and provide with the supply, and that's what we're all going to work on together with the passage of this bill.","{5822624, 5822628, 5822606, 5901168, 5901169, 5901170, 5822616, 5822620}",6790,False
3,3.0,False,Member,False,93.0,16.0,False,False,True,Bill Author,"And then, and I appreciate the questions here. And the other item is in regards to OES and then I think OES is offering up some amendments as well. And that works for the bill, correct? Can you just go into those?","Right, we are looking at amendments that might align terminology. Nothing to change the policy. So we are, like I said, we're totally working with OES and with the governor's office to make sure that this is good all around. I think we all are settled on the policy.",{7296868},7333,False
4,4.0,False,Member,False,107.0,96.0,False,True,False,Bill Author,Senator Pan?,"Thank you, Mr President, members. I'm proud to present SCR 64 which celebrates and honor the 25th anniversary of the American with Disabilities Act. On July 26th, 1990, the Ada was signed into law and became the most comprehensive civil rights bill in history for people with disabilities.",{3791928},4921,False
5,5.0,False,Member,False,80.0,100927.0,False,False,True,Bill Author,"Couple of a questions and a comment. One is how, I think it was already answered, I was going to ask you why do need a statewide goal if water agencies are all ready using desal as an option? Two, how do you account for the increased GHG emissions basically caused by desalinization since it's pretty energy intensive? The reason why I'm asking that, we just passed a bill, Bigelow's, based on the fact that his bill would actually decrease GHG emissions by","So, as to the first question, I think it's an aspirational goal. It's like a recycling goal for water recycling programs like the state passed in 2009. It doesn't mandate anything, there's no fiscal impact to the bill, it's simply aspirational. We're trying to give some wind in the sails, if you will, of local water districts and municipalities and other water producers that want to put desal as part of their portfolio.",{11200169},24218,False
6,6.0,False,Member,False,42.0,51.0,False,False,False,Bill Author,And we have a motion. If I can just go ahead and jump in here to say it would be appropriate for the author to indicate whether you are accepting the committee amendments or not.,"Yes, we are.",{1722235},1634,False
7,7.0,False,Not In Committee,False,84.0,2.0,False,False,False,Bill Author,"Seeing no further questions or comments from the committee. We have a motion and a second. I'd ask Clerk to please call the roll. Oh, I'm sorry. Mr. Bloom, you may close.","Thank you Mr. Chair, and with respect, I certainly do respect your position on this. But I do wanna point out that in addition to those parts of the Governor's message that you cited, the Governor invited us back to the table to discuss resolution of this issue.",{2064661},1941,False
8,8.0,False,Member,False,54.0,48.0,False,False,True,Bill Author,"So what this bill is saying, that if we build additional government buildings, that they would be required also to have these devices?","Under the memorandum, yes. Under the administrative policy, all state buildings that meet this requirement will have AEDs, yes.",{3573758},4593,False
9,9.0,False,Member,False,31.0,3.0,False,False,False,Bill Author,"Ms. Bonilla, you may open.",Thank you Mr speaker and members. AB 179 is back on concurrence. It's the sunset extension bill for the dental board and the board of vocational nursing and psychiatric technicians and addresses other sunset review related issues. The Senate amendments allow the dental board to suspend the dental assistant practical exam based upon review and analysis of the exam,{2785835},4300,False
