engagement,procedural,procedural_question,question,weak_question,topic_intro,uids_str,committee_position,committee_position_next,committee_position_prev,pid,pid_next,pid_prev,simple_label,simple_label_next,simple_label_prev,text,text_next,text_prev,uid_next,uid_prev,uids,vid
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,[470958],Not In Committee,Not In Committee,Not In Committee,5,46,46,Legislator,Bill Author,Bill Author,"Mr. Chair. So that travelers are accustomed to the same hours, would this be the same hours as we have in the northern California?","Yeah it would be the same as northern California. So in northern California, if I remember this correctly.","No thank you, I respectfully ask your aye vote.",470966,470956,[470958],508
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,[7296868],Member,Not In Committee,Chair,93,16,1,Legislator,Bill Author,Legislator,"And then, and I appreciate the questions here. And the other item is in regards to OES and then I think OES is offering up some amendments as well. And that works for the bill, correct? Can you just go into those?","Right, we are looking at amendments that might align terminology. Nothing to change the policy. So we are, like I said, we're totally working with OES and with the governor's office to make sure that this is good all around. I think we all are settled on the policy.","Any comments, concerns? I'm sorry. Let's go to witnesses. Why are you here? Okay. Any other witnesses in support? Any witnesses in opposition other than Austin? Okay. Any comments, concerns from the members? Mr. McGuire.",7296872,7296848,[7296868],7333
FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,[3791928],Member,Member,Not In Committee,107,96,2998,Legislator,Bill Author,General Public,Senator Pan?,"Thank you, Mr President, members. I'm proud to present SCR 64 which celebrates and honor the 25th anniversary of the American with Disabilities Act. On July 26th, 1990, the Ada was signed into law and became the most comprehensive civil rights bill in history for people with disabilities.","Secretary please read. Senate Concurrent Resolution 64 by Senator Pan, relative to the Americans with Disabilities Act.",3791930,3791926,[3791928],4921
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,[3573758],Member,Member,Member,54,48,24,Legislator,Bill Author,Legislator,"So what this bill is saying, that if we build additional government buildings, that they would be required also to have these devices?","Under the memorandum, yes. Under the administrative policy, all state buildings that meet this requirement will have AEDs, yes.","Yes, Senator Hueso, will you accept the question? Yeah? Please proceed.",3573760,3573748,[3573758],4593
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,[18925792],Member,Not In Committee,Chair,100,34362,34364,Legislator,Bill Author,Legislator,"I understand that, Senator, my confusion is that is this only if you are going to and from work and are not on duty? Or is this any-","Correct, yeah.","All right, we have a motion, Senator Jackson.",19065802,18925781,[18925792],32686
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,[1882766],Member,Not In Committee,Not In Committee,67,103,85,Legislator,Bill Author,Legislator,"Right, so my question is just based on what was in the analysis and having the read the bill about lowering that. Is that, is that all right in terms of the ceiling? In the event that interest rates do increase. That's what I'm asking. Are you open to lowering the ceiling?","There's been no amendments proposed, the Chair hasn't proposed any amendments and at this point I'm not willing or prepared to do that.","Thank you. See no additional in support? Witnesses in opposition? Seeing none. Questions or comments from committee members, Assemblymember Ridley-Thomas.",1882778,1882732,[1882766],1788
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,[13224971],Member,Member,Chair,4657,107,93,Legislator,Bill Author,Legislator,"Okay, so I prepared tax returns. I'm assuming, I don't know, I haven't asked you, but have you ever prepared tax returns or done any tax work for clients?","No, I'm not an accountant.","Hey, see there we go. You're looking good there.",13224974,13226091,[13224971],27455
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,[5080805],Member,Member,Chair,105,52,63,Legislator,Bill Author,Legislator,"Thank you, Madam Chair. Senator, is there anything in here that would have any requirement of quality, just a matter of time they spend and they get past some threshold and they're going to get a bonus, or?","Yes, I didn't put it as a, you're right, it's just a straight bonus for teachers who are come into the profession, and teachers who are here that might be thinking about leaving early, we're trying to keep them here.","Senator Huff, you have a question?",5080811,5080803,[5080805],6374
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,[11260598],Vice-Chair,Not In Committee,Chair,14,53,11,Legislator,Bill Author,Legislator,And the last question I had is we had the testimony in terms of student access to be able to get their ballots. But wouldn't current law between vote centers appearing on college campuses and such allow for much greater access in terms of being able to transmit ballots? As well as current law that allows your local ballot harvester to be able to bring those ballots through that process?,So I am proud to have authored and co-authored the previous legislation that hopefully we will go to the vote centers that of course is up to each individual county under SB 450. As far as being able to collect multiple ballots that will be even highly encouraged because we will be saving the state money if people actually collect them and walk them in rather than send them.,"Thank you very much. Any additional witnesses in support? Okay, seeing none, we have any wishing to speak in opposition? Okay, seeing none. I move the bill. Second.>>He moved and second, any questions from any Committee Members? Mr. Harper?",11260601,11260559,[11260598],24265
FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,[3780914],Member,Member,Not In Committee,24,25,2998,Legislator,Bill Author,General Public,Senator Monning?,"Thank you, Mr. President and members. Amendments taken in the Assembly simply add coauthors. I respectfully ask for your aye vote in the Assembly amendments. Thank you.",Roll.,3780916,3780730,[3780914],4999
FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"[756607, 756609, 756611, 756613, 756669, 756671, 756673]",Not In Committee,Not In Committee,Not In Committee,3,,67,Legislator,Unlabeled,Legislator,"Okay. And a second?, So, Mr. Gatto moves, Jones seconds., And we'll vote on consent., Where's the item consent?, Nine to zero, and consent., All right, excuse us Mr. Ridley-Thomas., We're back to you and I think we already had a motion from Mr. Wilk.",Second.,"Let's do 808 if possible, Madam Chair.",756675,756589,"[756607, 756609, 756611, 756613, 756669, 756671, 756673]",801
FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"[756607, 756609, 756611, 756613, 756669, 756671, 756673]",Not In Committee,Not In Committee,Not In Committee,3,,67,Legislator,Unlabeled,Legislator,"Okay. And a second?, So, Mr. Gatto moves, Jones seconds., And we'll vote on consent., Where's the item consent?, Nine to zero, and consent., All right, excuse us Mr. Ridley-Thomas., We're back to you and I think we already had a motion from Mr. Wilk.",Second.,"Let's do 808 if possible, Madam Chair.",756675,756589,"[756607, 756609, 756611, 756613, 756669, 756671, 756673]",801
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,[12002091],Vice-Chair,Not In Committee,Member,14,108894,100944,Legislator,General Public,Legislator,Thank you very much. If you could help me understand how this affects charter cities and potential charter amendments that are required to be able to modify city charters.,"Yeah, so charter cities would be required to comply with CEQA, they currently are required to comply with CEQA. Charter cities are included in the definition as elite agency under CEQA. So because this bill changes the definition of projects under CEQA, it will affect charter cities as well. But the Legislature is not allowed to tell charter cities what their elections procedures must be.","Great, thank you very much. Any additional witnesses in opposition? Seeing none, I will now turn it back to the Committee. Any questions from Committee Members? Vice Chair Harper.",12002092,12002089,[12002091],26664
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"[247124, 247140]",Member,Not In Committee,Chair,83,3576,22,Legislator,State Agency Rep,Legislator,"Thank you for coming to the committee Sorry, I was late in the beginning. I was doing testimony in Higher Ed, for two bills that I had for veterans which community college in both UC and CSU. So, I'm sure you'll be supportive of it as it goes through. Figured I'd make a plug., First of all, I'm interested in the issue of what we're going to be doing in the Bottom-Up Review for the universities. As I heard the testimony a few weeks ago, it seemed like there was a lot of confusion on the terms. President Napolitano, do you feel that we've come to closure that we understand what we're trying to do, that what we're asking you? Because from the hearing I got, I heard we couldn't even figure it out what the definition was, so.","Yeah, we were getting into budget weeds pretty quickly there. I think that, ""Yes"", as I said to Assemblymember Ting, we are working through that and we want to make available in the format that you needed the information that you require for your decision making.",Okay. Thank you. Assemblymember Chavez.,247168,247118,"[247124, 247140]",272
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"[14669041, 14674332]",Member,Not In Committee,Chair,70,521,92,Legislator,General Public,Legislator,"Richard?, There's nothing here to prevent a district from doing a non-PLA housing project if they want to. Just make sure I understand because I'm not as familiar with the bill everyone up at dais. Is that correct, though?",Well if they wanted to use the authority granted by Mr Thurmond's bill they would have to adopt the PLA. The PLA would be the mandate under the Thurmond bill.,We just have a question from Senator Allen.,14669043,14669040,"[14669041, 14674332]",30094
