"PAYMENTS FOR LEGISLATIVE, GOVERNMENTAL, OR CHARITABLE ACTIVITIES",,,,,,,,,,,,
SENATE 2013,,,Last Updated 03/27/2014,,,,,,,,,
,,,,,,,,,,,,
OFFICIAL,"DATE OF 
PAYMENT",PAYOR,CITY,STATE,AMOUNT,PAYEE,CITY,STATE,DESCRIPTION,"LGC 
PURPOSE","NOTICE 
RECEIVED","YTD AMOUNT 
BY MEMBER"
"Anderson, Joel",01/14/13,Santa Ynez Band of Mission Indians,Santa Ynez,CA,"5,000",Institute of Aeronautics & Astronautics,Reston,VA,AIAA Policy Symposium: Civilian Application of UAV's - Conference Sponsor,Legislative,04/10/13,
,01/16/13,Gene Haas Foundation,Oxnard,CA,"10,000",Institute of Aeronautics & Astronautics,Reston,VA,AIAA Policy Symposium: Civilian Application of UAV's - Conference Sponsor,Charitable,04/10/13,
,01/25/13,Northrop Grumman Systems Corp,Irving,CA,"25,000",Institute of Aeronautics & Astronautics,Reston,VA,AIAA Policy Symposium: Civilian Application of UAV's - Conference Sponsor,Charitable,04/10/13,
,02/19/13,"Aerovironment, Inc.",Monrovia,CA,"10,000",Institute of Aeronautics & Astronautics,Reston,VA,AIAA Policy Symposium: Civilian Application of UAV's - Conference Sponsor,Charitable,04/10/13,
,02/26/13,"Global Energy & Technology, Inc.",Ventura,CA,"5,000",Institute of Aeronautics & Astronautics,Reston,VA,AIAA Policy Symposium: Civilian Application of UAV's - Conference Sponsor,Charitable,04/10/13,
,03/05/13,"Alcoa, Inc.",Torrance,CA,"5,000",Institute of Aeronautics & Astronautics,Reston,VA,AIAA Policy Symposium: Civilian Application of UAV's - Conference Sponsor,Charitable,04/10/13,
,03/18/13,Jeff Gorell for Assembly 2012,Rancho Santa Margarita,CA,"5,000",Institute of Aeronautics & Astronautics,Reston,VA,AIAA Policy Symposium: Civilian Application of UAV's - Conference Sponsor,Charitable,04/11/13,
,03/14/13,California Business Roundtable,Sacramento,CA,"5,000",Institute of Aeronautics & Astronautics,Reston,VA,AIAA Policy Symposium: Civilian Application of UAV's - Conference Sponsor,Charitable,04/11/13,
,,,,,,,,,,,,"70,000"
"Cannella, Anthony",02/08/13,"Aerovironment, Inc.",Monrovia,CA,"10,000",AIAA Aeronautics and Astronautics,Reston,VA,AIAA Policy Symposium: Civilian Application of UAV's Conference Sponsorship,Charitable,04/10/13,
,02/19/13,"Alcoa, Inc",Torrance,CA,"5,000",AIAA Aeronautics and Astronautics,Reston,VA,AIAA Policy Symposium: Civilian Application of UAV's Conference Sponsorship,Charitable,04/10/13,
,02/22/13,"Global Energy & Technology, Inc.",Ventura,CA,"5,000",AIAA Aeronautics and Astronautics,Reston,VA,AIAA Policy Symposium: Civilian Application of UAV's Conference Sponsorship,Charitable,03/22/13,
,03/18/13,Jeff Gorell for Assembly 2012,Rancho Santa Margarita,CA,"5,000",AIAA Aeronautics and Astronautics,Reston,VA,AIAA Policy Symposium: Civilian Application of UAV's - Conference Sponsor,Charitable,04/16/13,
,03/14/13,California Business Roundtable,Sacramento,CA,"5,000",AIAA Aeronautics and Astronautics,Sacramento,CA,AIAA Policy Symposium: Civilian Application of UAV's - Conference Sponsor,Charitable,04/16/13,
,,,,,,,,,,,,"30,000"
"Corbett, Ellen",10/06/13,St. Rose Hospital,Hayward,CA,"14,000",N/A,N/A,N/A,Senator Corbett co-hosted an event where Covered California presented on the Affordable Care Act and St. Rose Hospital provided free healthcare services,Charitable,11/12/13,
,,,,,,,,,,,,"14,000"
