name,hard_coded_name,normed_name,oid,name_1,oid_1,name_2,oid_2,name_3,oid_3,name_4,oid_4,name_5,oid_5
Los Angeles County Professional Peace Officers Association,,los angeles county professional peace officers association,19950,Los Angeles County Professional Peace Officers' Association,77249,,,,,,,,
Sycuan Band of the Kumeyaay Nation,,sycuan band of the kumeyaay nation,58371,Sycuan Band of the Kumeyaay Nation,65005,Sycuan Band of the Kumeyaay Nation,66248.0,,,,,,
State Farm Insurance,,state farm insurance,46113,STATE FARM INSURANCE,48661,,,,,,,,
Del Mar Thoroughbred Club,,del mar thoroughbred club,31544,Del Mar Thoroughbred Club,42110,Del Mar Thoroughbred Club,66066.0,Del Mar Thoroughbred Club,69475.0,,,,
Air Liquide Usa LLC,,air liquide usa,3848,Air Liquide Usa LLC,24768,,,,,,,,
"Southern Wine & Spirits of America, Inc.",,southern wine & spirits of america,35692,"Southern Wine & Spirits of America, Inc.",67481,"Southern Wine & Spirits of America, Inc.",42957.0,"Southern Wine & Spirits of America, Inc.",44182.0,,,,
AT&T Inc. and its Affiliates,,at&t inc. and its affiliates,41510,AT&T Inc. and its Affiliates,59732,AT&T Inc. and its Affiliates,59844.0,AT&T Inc. and its Affiliates,61412.0,AT&T Inc. and its Affiliates,55711.0,AT&T Inc. and its Affiliates,56589.0
Yocha Dehe Wintun Nation,,yocha dehe wintun nation,43979,Yocha Dehe Wintun Nation,74106,Yocha Dehe Wintun Nation,57419.0,,,,,,
Barona Band Of Mission Indians,,barona band of mission indians,34217,Barona Band of Mission Indians,77808,Barona Band of Mission Indians,56243.0,,,,,,
"Pricewaterhousecoopers, LLP",,pricewaterhousecoopers,17514,PricewaterhouseCoopers LLP,55723,,,,,,,,
Allstate Insurance Company,,allstate insurance company,50122,Allstate Insurance Company,65311,,,,,,,,
Bnsf Railway Company,,bnsf railway company,26602,BNSF Railway Company,33862,BNSF Railway Company,68224.0,,,,,,
Tenet Healthcare Corporation,,tenet healthcare corporation,37991,Tenet Healthcare Corporation,67518,,,,,,,,
Oak Tree Racing Association,,oak tree racing association,42948,Oak Tree Racing Association,71632,,,,,,,,
none,,none,46145,none,46230,,,,,,,,
City College of San Francisco,,city college of san francisco,44096,City College of San Francisco,50270,,,,,,,,
"Millercoors, LLC",,millercoors,3121,"MillerCoors, LLC",51100,,,,,,,,
Aecom,,aecom,32120,AECOM,68482,,,,,,,,
San Manuel Band of Mission Indians,,san manuel band of mission indians,42665,San Manuel Band of Mission Indians,55387,,,,,,,,
Dart Container Corporation,,dart container corporation,24203,Dart Container Corporation,47732,,,,,,,,
"Maximus, Inc.",,maximus,22878,"Maximus, Inc.",23984,,,,,,,,
Southern California Edison,,southern california edison,38325,Southern California Edison,59914,,,,,,,,
BYD Motors,,byd motors,6099,BYD MOTORS INC.,73145,,,,,,,,
Pechanga Band of Luiseno Indians,,pechanga band of luiseno indians,42329,Pechanga Band of Luiseno Indians,49516,Pechanga Band of Luiseno Indians,60814.0,,,,,,
