,California State Assembly,
Title,Name,Biography
Assembly Member,Katcho Achadjian,"Katcho Achadjian was sworn in for his third term on December 1, 2014 to represent the 35th Assembly District in the California Legislature, which includes the communities of Arroyo Grande, Atascadero, Grover Beach, Guadalupe, Lompoc, Morro Bay, Paso Robles, Pismo Beach, San Luis Obispo, and Santa Maria.
 
In 1971, Katcho came to California to complete his education and pursue the American Dream. He carried with him a distinctive work ethic instilled in him by his Armenian parents in Lebanon - an ethic that has served him well in his roles as businessman, community volunteer and legislator. On December 17, 1982, a day that serves as a continuous source of pride for him, Katcho became a United States Citizen.
 
Katcho attended Cuesta Community College and graduated from Cal Poly San Luis Obispo with a degree in Business Administration. He and his wife Araxie were married in 1984 and they have a son, Hratch, and daughter, Nyri.
 
A lifelong community volunteer, Katcho has volunteered in support of numerous civic, service, and nonprofit organizations. He has served as a Member of the Board of Directors of Arroyo Grande Community Hospital and Chairman of San Luis Obispo's French Hospital. Since 2008, he has also served as a mentor to college students through the Executive Partners Leadership Council at Cal Poly's Orfalea College of Business.
 
The recipient of numerous awards and honors, Katcho was named a Cuesta College Distinguished Alumnus in 2007 and he was given the Distinguished Alumni Award from the Community College League of California in 2008. He was also recognized as Arroyo Grande Citizen of the Year in 1984.
 
Katcho knows first-hand how difficult the Legislature has made it to create and retain jobs in California. He founded a successful local small business in 1978, and has built it up to employ some 30 workers at three locations. In the Assembly, he is fighting to reduce the burdens of mandates, regulations and taxes that are driving businesses and jobs away.
 
Prior to his election to the Legislature, Katcho served for three terms as an elected member of the San Luis Obispo County Board of Supervisors. Katcho served as Board Chairman in 2001 and again in 2006. As a member of the Board of Supervisors, he helped craft and secure passage of balanced and on-time budgets for 12 straight years and built up county reserves. He fought hard to protect taxpayers, property rights, and public safety while holding down the cost of government.
 
Throughout his career, Katcho has been a strong champion of protecting the region's abundant natural resources and pristine coastline. In 2006, Governor Arnold Schwarzenegger appointed him to serve as a member of the California Coastal Commission, charged with protecting the beauty of California's coastline. He served as a member of the commission until his election to the Assembly in 2010.
 
Working hard to give our children the strong foundation they need to lead strong, healthy lives, Katcho was the founding chairman in 1999 of the San Luis Obispo County First 5 Commission. The Commission allocates funds and advocates for quality programs and services that support children prenatal to age 5 and ensure that every child is healthy and ready to learn in school.
 
In both his private and public service, Katcho has been a strong supporter of public safety. He has served as a Charter Board member of the San Luis Obispo Law Enforcement Assistance Foundation (SLO LEAF) since 2002, serving as Secretary in 2002 and Vice President from 2004 to 2010. He has been a member of the San Luis Obispo County Sheriff's Advisory Council since 1989 serving as its Chairman from 1994 to1995. Katcho was recognized with the CA Attorney General's Certificate of Appreciation for Support of Law Enforcement in September 2004.
 
A passionate advocate for farmers and ranchers throughout the Central Coast region, Governor Pete Wilson recognized Katcho's grasp of the county's agricultural issues by appointing him to the San Luis Obispo County Fair Board. He served from 1992-99, and as Board Chair in 1995.
 
Reforming government to make it more efficient and accountable to taxpayers, cutting wasteful spending and programs, and making California's economy more competitive for job creation are some of Assemblyman Achadjian's top legislative priorities.
 
Fighting hard for the Central Coast's working families, Assemblyman Achadjian currently serves as Chair of the Assembly Local Government Committee, and as a member of the Assembly Committees on Accountability and Administrative Review, Banking and Finance, Transportation, and Joint Legislative Audit"
Assembly Member,Luis A. Alejo,"Luis A. Alejo was raised in Watsonville, a small agricultural town in the heart of California?s Central Valley.  Growing up with two parents working in the agriculture industry during the 1950s, Alejo was fortunate to witness the power of political activism at an early age.   Cesar Chavez led the fight to gain workers? rights for thousands of farm laborers the Central Valley, and had a major impact in a generation of social movements.  From an auspicious beginning, Alejo developed a sense of personal commitment to helping his community.  In 2013, as California State Assemblymember for the 30th District, Alejo proved his commitment by authoring landmark legislation on behalf of the disadvantaged and underrepresented throughout California.

Like many Americans, Alejo found early opportunities through education.  After watching his parents use education as a stepping stone to a better life, Alejo understood the value of academic success.  Alejo?s father, a Vietnam War era veteran, used the G.I. bill to pursue vocational training and later his teaching credential at San Jose State; his mother becoming a nurse once finishing school.  After attending Watsonville High School and Gavilan Community College, Alejo transferred to the University of California at Berkeley.

At UC Berkeley, one of the nation?s top universities, Alejo graduated with honors, receiving dual bachelor?s degrees in political science and Chicano studies.  After returning home to teach special need students and at-risk youth, Alejo continued his education at the University of California, Davis, School of Law, where he earned his Juris Doctorate (JD).  While at UC Davis, Alejo was honored with the prestigious Martin Luther King Community Service Award, the Maggie Schelen Public Service Award, and the Lorenzo Pati?o Community Service Award.  As a result of his exceptional work, Alejo was accepted to Harvard University, finishing his academic career by obtaining his masters of education degree (Ed.M) in administration, planning and social policy.

After finishing his graduate and professional studies, Alejo began his legal career, championing the rights of working families as a staff attorney for California Rural Legal Assistance Foundation and the Monterey County Superior Court. Representing thousands of individuals who couldn?t afford private attorneys, Alejo helped disadvantaged families face a myriad of legal problems.  Encouraged by the opportunity to help others, Alejo eventually decided to take a chance at public office.

Alejo got his first taste of politics as a Jesse M. Unruh Fellow for the California State Assembly at the State Capital in Sacramento.  During the 2002 legislative session, he drafted and staffed numerous bills and resolutions, and earned a reputation for being an effective and hardworking legislative staffer; knowledge of which he would bring to his first-term in the Assembly.  Before being elected to the Assembly, Alejo served as the Mayor of Watsonville, as well as on the Watsonville Planning Commission, the Library Board, and the Santa Cruz County Juvenile Justice and Delinquency Prevention Commission.

Alejo was first elected to the Assembly in November 2010 to represent the 28th Assembly District, which consisted of San Benito County, the Salinas Valley, North Monterey County, South Santa Clara County and the city of Watsonville. In November of 2012, he was re-elected to the Assembly as the representative of the newly formed 30th Assembly District. Alejo?s new district now contains a greater portion of the Monterey County coast and south Santa Clara County.

Currently, Assemblymember Alejo sits on four standing committees. Most notably, Alejo is the Chair of the Assembly Committee on Environmental Safety and Toxic Materials. Other committee assignments include Judiciary, Labor and Employment, and Local Government.  During his first term in the State Assembly, Alejo focused on bringing jobs back to California as well as authoring legislation in the areas of education, healthcare, public safety, civil rights and public access to government. In his second term, Alejo built on his success by authoring, among others, two historic pieces of legislation in 2013.

Assembly Bill (AB) 60 ? The Safe and Responsible Driver Act ? gives undocumented immigrants the opportunity to apply for a driver?s licenses.  Once implemented, AB 60 will improve public safety by ensuring all drivers can be licensed and insured.  Equally as important, AB 60 gives millions of Californians the peace of mind to make the necessary travels in order to work and support their families without fear of unnecessary consequences.  In addition, Alejo managed to get AB 10 signed into law, raising the minimum wage in California to $10 an hour, the highest in the nation.  Income inequality has always been a pressing issue for Alejo, whose first bill as an Assemblymember proposed raising the minimum wage.  AB 10 was the culmination of three years? work and helps ensure equality and respect for our state?s minimum wage workers. 

Alejo previously made national headlines in May 2012 when he became the first Assemblymember to propose in the Assembly Chambers during legislative session. He and his wife, Karina Cervantez Alejo, married on December 8, 2012. Karina, who was previously elected as a Councilmember, now serves as the Mayor for the City of Watsonville.  Luis and Karina Alejo live in Watsonville with their two dogs, Diego and Frida."
Assembly Member,Travis Allen,"Assemblyman Travis Allen was first elected to the State Assembly in November of 2012 to represent the 72nd Assembly District, which includes the cities of Huntington Beach, Seal Beach, Fountain Valley, Garden Grove, Westminster, Los Alamitos and the unincorporated community of Rossmoor.
 
As a member of the Assembly, Assemblyman Allen's priority is to expand the California economy through policies that create economic growth. Assemblyman Allen plans to initiate programs that will expand California?s international trade and maintain California?s place as the 9th largest economy in the world. He is specifically concentrating on the high tech industry and creating opportunities for continued market expansion. Assemblyman Allen is actively working to build the framework for increased international joint ventures and economic cooperation.
 
Before joining the assembly, Assemblyman Allen operated his own small business for over a decade as a Financial Planner. Assemblyman Allen concentrated on creating and preserving wealth for working families, retirees, and local business owners. Despite the challenges that have come with the tough economy and volatile markets, his expertise and hard work have helped his clients reach their financial goals.

Prior to starting his own business, Assemblyman Allen served as Associate Vice President at AG Edwards and Sons.

As a Financial Planner, Assemblyman Allen saw the damage done to the portfolios of his hard working clients by government overregulation and bad policies. He has seen firsthand businesses that have been forced to relocate to other states ? taking their jobs with them. Seeing this repeat itself too many times, Assemblyman Allen became politically active to help small businesses by fighting for job creating policies.

Additionally, Assemblyman Allen has a lifelong history of giving back to his community. He has given his time and resources to many charitable and community causes, including helping the homeless of Orange County with the Orange County Rescue Mission. He is active in the Christian and Jewish communities and is a supporter of a number of Pro-Israel charities.

Assemblyman Travis Allen is a long time resident of Huntington Beach, where he has lived and surfed for almost 20 years and is well known by the local citizens and community leaders."
Assembly Member,Toni G. Atkins,"Assembly Speaker Toni G. Atkins has served in the California State Assembly since 2010, and was elevated to the top leadership post in 2014, when her colleagues unanimously elected her 69th Speaker of the California Assembly.

Speaker Atkins proudly represents the people of coastal San Diego, from Imperial Beach, along the Mexican border, north to Solana Beach, and most of central San Diego. She previously served eight years on the San Diego City Council, and became a stabilizing force during a tumultuous period in 2005, stepping in as Acting Mayor after the resignation of the mayor.

Speaker Atkins is a coalition-builder who believes government policies can improve people's lives. She is a leading voice for affordable housing, a powerful advocate for women, and champion for veterans and homeless people.

Prior to her election as Speaker, she held the position of Majority Leader. She chaired the Assembly Select Committee on Homelessness, and served on committees on Agriculture, Housing and Community Development, Health, Judiciary, Veterans Affairs, Select Committee on Ports, Select Committee on Biotechnology as well as the Joint Legislative Audit Committee.

Speaker Atkins was born in Virginia, earned her bachelor's degree in political science from Emory & Henry College, and completed the senior executive program at the John F. Kennedy School of Government at Harvard University.

Her life of public service began in San Diego in the mid-1980s as director of clinic services at Womancare Health Center. She became a staff representative of then-City Councilmember Christine Kehoe, later winning her mentor's council seat after Ms. Kehoe's election to the Assembly. She represented the City of San Diego in the local chapter of the League of California Cities; on the board of the Metropolitan Transit System; on the San Diego Association of Governments; the Regional Housing Working Group; and the San Diego River Conservancy.

Atkins lives in the South Park/Golden Hill community of San Diego with her spouse Jennifer LeSar and their dogs, Haley and Joey."
Assembly Member,Catherine Baker,"Catharine is a mother of school-age twins and an active parent leader in local schools, having served as Vice President of the Dougherty Elementary School Site Council and on several school improvement committees.

Catharine is also a volunteer leader in her community, previously serving on a local preschool board and volunteering with Girl Scouts and Cub Scouts in the region as an archery instructor. She also volunteers on the board of the Diablo Regional Arts Association in Walnut Creek, supporting arts and educational programs for families and schoolchildren throughout her community.

Catharine earned her B.A. degree from the University of Chicago, overcoming cancer her senior year to graduate Phi Beta Kappa and with honors. Catharine later went on to earn her J.D. degree from U.C. Berkeley School of Law, and helps small businesses and local charities get started and become successful."
Assembly Member,Frank Bigelow,"The first thing you?ll notice about rancher Frank Bigelow is his hat. To Frank?s way of thinking, he wears it as a symbol of respect for the sacrifice of those who settled our region and it serves as a commitment to continue to preserve our way of life.
 
With family roots that date to the late 1800?s, Frank?s great grandparents, Harmon and Leota Bigelow, settled in the O?Neals area of Madera County and established a cattle and sheep ranch along with a wagon and stage line that served the high country of the Sierra Nevada.
 
Later, Harmon strung two wires through the trees so that his wife could talk to her friend a half-mile away with a telephone. In 1908, after requests for service from other settlers and a subsequent request by the Forest Service to take over its phone lines, the Bigelow Telephone Company became Ponderosa Telephone Company.
 
An employee of the Ponderosa Telephone Company since 1973, Frank worked his way up through the ranks of the company, learning all facets of the business and currently serves as Vice President. Frank remains active in the operation of his family?s cattle ranch Bigelow Farms.
 
One of the realities of our region is the threat of fire. Although an official firefighter on his 18th birthday, Frank?s commitment to fire safety was born on the ranch as a young boy. 39 years later, Frank continues serve as a volunteer with his local fire department.
 
Frank resides in O?Neals, with his wife of 35 years, Barbara. First elected to the State Assembly in 2012, Bigelow is committed to protecting rural California and our rural way of life."
Assembly Member,Richard Bloom,"Richard Bloom was first elected to the 50th District of the California State Assembly in 2012 where he proudly represents the communities of Agoura Hills, Bel Air, Beverly Hills, Brentwood, Hollywood, Malibu, Pacific Palisades, Santa Monica, Topanga, West Hollywood, and West Los Angeles.

Shortly after his election, Assemblymember Richard Bloom was appointed to the Chair of the Assembly Budget Subcommittee on Resources and Transportation where he quickly established himself as a leader on one of the biggest issues facing this generation - climate change.  As Chair, Assemblymember Bloom has pushed for increasing renewable energy development and reducing our reliance on fossil fuels and promoting smart and sustainable planning that expands affordable housing and reduces traffic congestion and commute times.  Through his leadership, Assemblymember Bloom has made reducing our carbon footprint and enhancing the quality of life now and for future generations a core mission of the committee.

As a steward of the environment, Assemblymember Bloom also helped establish the most stringent protections in the country against the dangers of hydraulic fracking and pushed for improved rail safety and oil spill response preparedness in light of the exponential growth of oil imports by rail.  Assemblymember Bloom also introduced the strongest protections in the country against the use of rodenticides which are harming wildlife at alarming levels and against the use of plastic microbeads in personal care products that are contaminating our rivers, streams, and oceans.

In just his first few years, Assemblymember Bloom has also been involved in legislative efforts to combat the prescription drug overdose epidemic, address homelessness, improve services for our veterans, expand and protect the rights of the LGBT community, foster local redevelopment and create jobs.  Overall, Assemblymember Bloom considers climate change, environmental protection, congestion relief with a focus on public transit, bike, and pedestrian investment, and sub-regional connectivity job creation with a particular focus on the green economy, affordable housing, and homelessness his top priorities. 

In addition to serving as Chair of the Assembly Budget Subcommittee on Resources and Transportation, Assemblymember Bloom serves on the Assembly Committees on Appropriations, Budget, Business and Professions, Higher Education, and Transportation.  Assemblymember Bloom also served on the Legislative Budget Conference Committee in 2014 which was a small group of legislators tasked with negotiating the 2014-15 state budget agreement with the Governor.

Prior to being elected to the California State Assembly in 2012, Assemblymember Bloom served on the Santa Monica City Council for 13 years where he served as Mayor three times and Mayor Pro Tempore twice.  He also served as Chair of the Santa Monica Bay Restoration Commission, Chair of the Westside Cities Council, and as a special California State Senate appointment to the California Coastal Commission. 

Born in Philadelphia, Assemblymember Bloom grew up in Altadena and West Los Angeles. He attended Fairfax High School, the University of California (Los Angeles and Berkeley) and Loyola School of

Law and holds a B.A. in Communication and Public Policy as well as a Juris Doctor degree.  After law school, he practiced family law for nearly 30 years and worked as the executive director for a non-profit that assisted low-income and homeless clients.  He also served as a volunteer Judge Pro Tem and mediator for the Los Angeles Superior Courts and on the Executive Committee of the Los Angeles County Bar Association Family Law Section.

Assemblymember Bloom lives in Santa Monica with his wife of 33 years, Robbie Black, a healthcare professional and administrator at Cedars-Sinai Health Center in Los Angeles.  The Bloom family includes two adult children, Zac and Emmett, three chickens and one dog."
Assembly Member,Susan A. Bonilla,"Assemblywoman Susan A. Bonilla was first elected to the State Assembly in November 2010, and represents California?s 14th Assembly District, which includes Contra Costa County and Solano County. She is chair of the Assembly Business, Professions, and Consumer Protection Committee, and sits on the Assembly Health Committee and the Assembly Utilities and Commerce Committee. She also chairs the Assembly Select Committee on Increasing the Integration of STEM Education in California K-14 Schools.

In 2014, Assemblywoman Bonilla authored the groundbreaking business innovation and consumer protection bill, AB 2293, which clarifies insurance coverage for Transportation Network Companies such as Uber and Lyft. This bill ensures that drivers, passengers and pedestrians are protected, while supporting the innovative ride-sharing business model. During last year?s legislative session, she also authored two significant public safety measures: AB 1147, the Massage Therapy Reform Act, which returns local land-use authority to cities and counties to eliminate human trafficking and prostitution from the massage industry, and AB 2560, which addresses the recent number of child abuse cases in schools by ensuring all credentialed school employees understand their responsibilities to report all child abuse cases to local law enforcement. In addition, she co-authored AB 1432, which complements AB 2560 by requiring annual training on mandated reporting and identifying child abuse and neglect for all certified school employees.

This past year, Assemblywoman Bonilla made it a priority to address a number of public policy issues, including the state?s current physician shortage and discrimination against members of the LGBT community. AB 1838 allows more graduates of accelerated and fully accredited medical programs to become licensed physicians in California, and AB 2501 prohibits the use of the ?panic defense,? where defendants claim that a state of panic provoked their malicious act, in an attempt to lower or escape charges. Furthermore, as a leader for women?s rights, Assemblywoman Bonilla helped keep women in the Science, Technology, Education, and Math (STEM) fields. AB 2350 requires universities to adopt policies to implement Title IX and protect the rights of pregnant graduate students, by ensuring that they receive the appropriate and necessary accommodations to complete their programs.

Adding to her legislative accomplishments, Assemblywoman Bonilla?s devoted efforts to improve our education system produced an additional $26.7 million for the K-12 High Speed Network, to meet internet requirements necessary for the implementation of the Common Core State Standards. This additional funding built upon last year, in which she was successful at securing $1.25 billion for Common Core implementation, professional development for teachers, and technology upgrades for our schools.

Prior to serving in the California State Legislature, Susan was the Mayor of Concord and County Supervisor for Contra Costa County. Before entering her career as an elected official, she was a high school English teacher in the Mt. Diablo Unified School District. Susan earned her B.A. in English from Azusa Pacific University and her teaching credential from California State University Los Angeles. Susan and her husband, John, reside in Concord. They have four daughters and three grandchildren."
Assembly Member,Rob Bonta,"Assemblymember Rob Bonta was elected to the California State Assembly's 18th District in 2012, where he represents the cities of Oakland, Alameda, and San Leandro as the first Filipino American state legislator in the history of California.

Rob?s passion for justice and equality was instilled in him at a very young age by his parents, who taught him to understand injustice and the importance of joining the struggle to empower vulnerable communities. His father was involved in the Civil Rights Movement, and stood with Dr. Martin Luther King, Jr. in the Deep South ? marching for equality and justice in Selma. His mother was and continues to be a long-time leader in the Filipino social justice movement.

Growing up in a trailer just a few hundred yards from C?sar Chˇvez?s home, Bonta watched closely as his parents organized Filipino and Mexican American farm workers, infusing his formative years with first-hand experience of one of the greatest peaceful social, racial, and economic justice movements of all time. This had a huge impact on Rob?s life choices and pursuits, inspiring his life?s commitment to helping people.

Rob believed legal training was one of the most powerful ways to effect positive and profound change in the lives of those who needed it most. He worked his way through college cleaning laundry rooms and, with the help of financial aid, was able to achieve his dream of attending some of the best universities in the world, obtaining his Juris Doctorate from Yale Law School after attending Yale College and Oxford University in England.  Earning honors in college, Rob was also a scholar athlete, captaining the Yale Soccer team. He also paved the way for the advancement of students of color as a mentor and volunteered in support of local children struggling with poverty.

His legal career included work as a Deputy City Attorney for the City and County of San Francisco, where he represented the City and County and its employees, and as a private attorney, where he fought to protect Californians from exploitation and racial profiling.  Rob was undefeated at trial, never losing a jury verdict for his clients. Prior to being elected to the Alameda City Council, Rob served as the Chair of the City of Alameda?s Economic Development Commission, where he focused on business attraction and retention efforts, and as board president for the Social Service Human Relations Board, where he fought to protect safety net services for the most vulnerable members of the community. As Vice Mayor of the City of Alameda, Bonta strongly supported public safety, fostered economic development, and exercised fiscal responsibility. 

In the Assembly, Bonta continues to build upon this work, successfully passing  legislation to keep neighborhoods safe, provide a quality education to all of our children, build prosperous and healthy communities, foster economic opportunity, and protect our social service safety net. In 2014, Bonta passed 20 bills through the Legislature, 16 of which were signed into law by Governor Brown (2 of those were signed as part of the Budget Act).

Bonta?s work to improve the health of Californians began as an elected member of the Alameda Health Care District Board of Directors, where he championed access to quality health care for all ? a goal he further pursued his first two years in the Assembly as a member of the Health Committee. He has also authored and co-authored a number of bills to promote public health, including AB 174 to provide funding for school-based health centers, AB 514 and AB 1629 to increase access to services for victims of gun violence, AB 1271 to require school safety plans to include a mental health plan for students, AB 966 to reduce the spread of HIV/AIDS and other STDs in prisons, and SB 1005 to expand health care benefits to undocumented members of our community.  Appointed Chair of the Assembly Health Committee by Speaker Toni Atkins in December 2014, Bonta continues to build upon this strong track record of promoting a healthier California by authoring AB 72 with Speaker Atkins, to ensure California continues to provide the best possible health care services to its residents.

As Chair of the Select Committee on Gun Violence in the East Bay during his first two years in the Assembly, Bonta held hearings throughout the state to engage stakeholders and identify strategies to reduce gun violence in his own district and throughout California. The hearings inspired Bonta to introduce AB 1629 to expand the California Victims Compensation Program to include reimbursement for violence prevention and intervention services to help heal victims, families, and communities harmed by violent crime. The bill passed the Legislature with strong bipartisan support and was signed by the Governor.

As Chair of the Public Employees, Retirement, and Social Security Committee, Bonta convened a series of hearings to address the $74 billion CalSTRS funding shortfall, which resulted in AB 1469, a legislative fix to address the long-term CalSTRS shortfall and ensure that hard-working teachers receive the retirement security they have been promised.

Bonta paid tribute to his parents? work and the Filipino-American community by authoring AB 123 his first year in the Assembly. AB 123 requires state school curricula to include the contributions of Filipinos to the farm labor movement in California. Governor Brown fittingly signed the bill during Filipino Heritage Month. Now, a new generation of Californians will learn about the transformative struggle for justice of the farm labor movement and the great historical collaboration between Filipino Americans and Latinos, which is so much a part of Bonta?s own family history.

Bonta currently serves as Chair of the Assembly Health Committee, the Public Employees, Retirement, and Social Security Committee, and the Co-Chair of the Select Committee on the Status of Boys and Men of Color in California. He is also a member of the following committees: Appropriations, Budget, Budget Subcommittee No. 1 on Health and Human Services, Joint Legislative Budget, and Joint Legislative Committee on Emergency Management."
