,California State Senate,
Title,Name,Biography
Senator,Benjamin Allen,"On November 4, 2014, California State Senator Ben Allen was overwhelmingly elected to represent the 26th Senate District, which consists of the Westside and coastal South Bay communities of Los Angeles County: the cities of Manhattan Beach, Hermosa Beach, Redondo Beach, Palos Verdes Estates, Rancho Palos Verdes, Rolling Hills, Rolling Hills Estates, El Segundo, Avalon, Lomita, Torrance, Santa Monica, West Hollywood, and Beverly Hills; the Los Angeles neighborhoods of Marina Del Rey, Playa Del Rey, Del Rey, Westchester, Pacific Palisades, Brentwood, Westwood, Westwood Village, Bel Air, Holmby Hills, Little Holmby, Sunset Hills, Beverly Grove, Mar Vista, Mid City West, Miracle Mile, Larchmont Village, Hollywood, Hollywood Hills, Fairfax, Carthay, Fremont Place, Hancock Park, and Windsor Square; and the unincorporated Los Angeles County communities of Marina Del Rey, San Clemente Island, Santa Catalina Island, Franklin, Centinela, and Ocean View.

He was selected as a freshman senator to serve as chair of the Senate's Committee on Elections and Constitutional Amendments as well as the state legislature's Joint Committee on the Arts.  He also serves on the Senate's Budget Committee, the Budget Subcommittee that oversees the state's education budget, the Veterans Affairs Committee, the Natural Resources and Water Committee, and the Transportation and Housing Committee.

Ben is a former board member, and former Board President, of the Santa Monica-Malibu Unified School District and was elected as the top vote-getter in both his 2008 election and 2012 reelection.  He is also an attorney with the law firm of Richardson & Patel LLP and is a lecturer at UCLA Law School, where he teaches education law and policy.

On the School Board, Ben was a leader on issues of environmental sustainability, financial accountability, and community engagement. While President of the Board, Ben helped shepherd through a successful $385 million bond measure that is set to upgrade District facilities using cutting-edge environmental best practices and create good new local jobs. He helped lead the negotiations for the District with the City of Santa Monica that increased and stabilized City funding for the schools and has supported efforts to ensure that the District provides all students with high-quality educational opportunities regardless of their background or means.

Ben also served on the executive board of the Los Angeles County School Trustees Association, was the Chair of L.A. County<'-TOKEN>s Committee on School District Organization, and was a delegate to the California Democratic State Convention.  

While in law school, Allen served as a voting member of the University of California Board of Regents and as a judicial clerk with the United Nations<'-TOKEN> International Criminal Tribunal for Rwanda. Afterwards, Allen was a litigator with the law firm of Bryan Cave LLP and then led the successful Los Angeles launch of The Spark Program, a non-profit organization that connects at-risk middle school students with apprenticeships. He currently serves on Spark<'-TOKEN>s board.

Prior to his law career, Allen worked for the National Democratic Institute for International Affairs (NDI), and then as communications director for Congressman Jose Serrano (D-NY).  He is a senior fellow with the international human rights organization Humanity in Action, is member of a Pacific Council on International Policy, and a graduate of the Jewish Federation's New Leaders Project.  Allen has degrees from Harvard, Cambridge, and UC Berkeley, and he is fluent in Spanish."
Senator,Joel Anderson,"After four years of service in the State Assembly, Senator Joel Anderson was elected in 2010 to represent the citizens of San Diego and Riverside Counties in the thirty-sixth Senate district.  In 2014, he was re-elected to office, representing the thirty-eighth Senate district.

When first elected to the Assembly, he promised his constituents, ""I am not going to Sacramento to be a potted plant.""

True to his word, Senator Anderson authored a landmark piece of legislation in his first year of service in the Assembly.  

Assembly Bill 221 required the California Public Employees' Retirement System and the California State Teachers' Retirement System to divest from companies that violated federal law by doing business in the Islamic Republic of Iran. This legislation called for the divestment of over $24 billion of our public pensions from the Islamic Republic of Iran - the top exporter of terrorism throughout the world.

The bill sparked a national movement which led 28 other states and the United States Congress to introduce similar laws. Governor Arnold Schwarzenegger announced to the world that he would sign AB 221 on the floor of the United Nations during his speech to the General Assembly.

AB 221 garnered national and international media coverage in over 300 articles in 13 countries. Media coverage included Time Magazine, New York Times, The Wall Street Journal, CNBC, Fox News' ""Your World with Neil Cavuto,"" BBC, Bloomberg, The National Review, Le Monde (France), and The Jerusalem Post (Israel).

To keep our roads safe, Senator Anderson authored legislation to make the Regional Transportation Management Center a 24/7 operation.

In recognition of the sacrifice that the men and women of our military have made in the protection of our freedoms, Senator Anderson passed AB 257 into law, which granted free state park passes to disabled veterans and recipients of the Congressional Medal of Honor. Senator Anderson was also recognized with the 2007 ""San Diego Psychiatric Society Legislative Award"" for his ""interest in, sensitivity to, and knowledge of mental health issues."" 

Senator Anderson<'-TOKEN>s success in 2007 led national talk radio host, Roger Hedgecock, to call Joel, ""the greatest freshman Assemblyman from San Diego ever.""

In 2008, Senator Anderson joined forces with the state's sheriffs and district attorneys to curb the rampant crime of metal theft. For his dedication, these groups named Senator Anderson their Legislator of the Year.

Senator Anderson<'-TOKEN>s reach was felt on a wide array of issues; several other organizations recognized Joel for his key role as a watchdog on their cause. For his efforts to protect the Second Amendment, Senator Anderson was named the ""2008 California Rifle & Pistol Association Legislator of the Year."" He also fought hard to keep public land open for public use during his first term which earned him the ""2008 California League of Off-Road Voters Legislator of the Year Award.""

As one of their most successful alums in recent memory, Senator Anderson was awarded the ""2008 Young Republican Federation of California's Legislator of the Year Award"" for his tremendous record of success during his first term in the Legislature.

In 2009, Senator Anderson focused on fixing the state's economy and bringing jobs back to our great state. Many California businesses began leaving as the state began issuing IOUs. Joel responded by authoring AB 1506, which protects taxpayers from the state's ""forced-borrowing"" by requiring the state to accept its own IOUs for payment of state taxes and fees.

AB 1506 had 74 bi-partisan co-authors and received over 3,000 letters of support from taxpayers, labor unions, small businesses, elected officials including State Controller John Chiang.

Senator Anderson<'-TOKEN>s efforts to protect small businesses and taxpayers earned him the ""2009 Lakeside Chamber of Commerce Legislator of the Year Award"" and the ""2009 Pacific Water Quality Association's Legislator of the Year Award.""

In recognition of his efforts on behalf of veterans and their families, in 2010 the California Branch of the American Legion, named Senator Anderson as their <""-TOKEN>Legislator of the Year.<""-TOKEN>

After being sworn in as the State Senator from California<'-TOKEN>s thirty-sixth Senate District, representing over 1,000,000 constituents, Senator Anderson affirmed his commitment to fight every day on behalf of those he represents. In 2011, for his efforts to protect small businesses during the great recession, Senator Anderson was named the <""-TOKEN>California State Senate Legislator of the Year<""-TOKEN> by the California Small Business Association and California Small Business Roundtable.

In 2012, as Vice-Chair of the Senate Public Safety Committee, Senator Anderson continued his work to protect crime victims by authoring Senate Bill 1371, which passed both the Senate and Assembly unanimously and was signed into law by Governor Brown.  SB 1371 closed a loophole in current law that allowed convicted criminals to get out of paying restitution to the victims of their crimes.

In 2014, Senator Anderson authored SJR 17, which urged President Barack Obama<'-TOKEN>s administration to expedite visa processing for Iraq<'-TOKEN>s minority groups and to lift the refugee quota cap for Iraqi-Christians in order to streamline the process of accepting them into the United States as refugees as they are under persecution from the Sunni Islamist terrorist group the Islamic State in Iraq and Syria (ISIS).

That same year he also worked with Senator Ted Lieu (D-Los Angeles) to pass SB 828, a bill which prohibits the state from providing material support, participation or assistance to the federal government to collect electronically stored information or metadata if the if the state has actual knowledge that the request constitutes an illegal or unconstitutional collection of electronically stored information or metadata.

In 2014, Senator Anderson was re-elected to the California State Senate, representing Senate district thirty-eight.

Senator Anderson is a member of  the Senate Health Committee, the Senate Judiciary Committee, and the Senate Committee on Elections and Constitutional Amendments.  He is also a member of the Senate Budget and Fiscal Review Committee.

While Senator Anderson<'-TOKEN>s accomplishments are many, the most important role in Joel's life is that of being a husband to his wife Kate for 25 years, and a father to their three children - Mary, Maura and Michael."
Senator,Patricia C. Bates,"My name is Patricia C. Bates, but I am better known as <""-TOKEN>Pat.<""-TOKEN> I am honored to serve as the Senator for the 36th Senate District in the California Legislature since December 1, 2014, representing nearly 1 million people from Encinitas in San Diego County to Rancho Santa Margarita in Orange County.

Elected public service was not something I sought growing up. It came gradually when I became a wife, mother, and community volunteer. My professional background is one of a Los Angeles County social worker, a position in which I helped people deal with some tough challenges in their personal lives.

What I learned as a social worker was that government must not rob people of their self-esteem and initiative. Government has an important role in protecting public safety and health, but it must act within the limits placed upon it by the people. After all, government exists to serve the people, not the other way around.

In the Senate, my focus is to solve everyday problems for Californians in a way that will preserve our quality of life, protect taxpayers, and restore fiscal common sense to government. That is what I did as the driving force behind Laguna Niguel<'-TOKEN>s campaign for cityhood and when I became its first mayor upon the city<'-TOKEN>s incorporation in 1989. I served four terms as mayor and then continued serving as a city council member until my election to the State Assembly in 1998, earning the trust of a large majority of Orange and San Diego County voters.

When I was in the Assembly, I served as Vice Chair of the Assembly Appropriations and Assembly Health committees, and was the founding Chair of the Republican Women<'-TOKEN>s Caucus to ensure that women from across the political spectrum were fully represented. While serving in the Assembly, I was appointed to the prestigious Little Hoover Commission, and Governor Arnold Schwarzenegger appointed me to serve on his historic California Performance Review Commission <--TOKEN> responsible for providing recommendations on reforming state government and its operations.

On January 9, 2007, I was sworn-in as an Orange County Supervisor by former California Education Secretary and Senator Marian Bergeson. As only the fourth woman ever elected to the Board of Supervisors, I worked diligently to protect taxpayers and improve the county<'-TOKEN>s fiscal outlook; create business friendly policies to attract jobs; maintain high levels of public safety; shorten the timeline for delivery of transportation projects; implement pension and retiree medical liability reforms; and protect our coastal environment.

I am a proud native of Southern California, growing up in Long Beach and moving to South Orange County four decades ago. My husband John is an accomplished architect, and I am proud to have two adult children and four grandchildren."
Senator,Jim Beall,"Jim Beall brings a lifetime of experience and understanding in government efficiency, transportation, and human services to the State Senate.

In three decades of public service <--TOKEN> first as a San Jose City Councilman, then as a Santa Clara County Supervisor, and an Assembly member -- Jim Beall has left his mark across Silicon Valley.

He spurred the construction of Highways 85 and 87; fought to bring BART to San Jose; and authored bills to ease financing for seismic upgrades for our hospitals and also to grow California<'-TOKEN>s solar industry. This has meant thousands of good jobs for working families.

He is known throughout California for his legislation to help foster care children, low-income families, and people with disabilities.

And he has made a lasting difference in the lives of over 100,000 local youngsters by leading the drive to create the Children<'-TOKEN>s Health Initiative to ensure that every child in Santa Clara County can be covered by health insurance.

Beall plans to continue to help the people of Silicon Valley for years to come."
Senator,Tom Berryhill,"Senator Tom Berryhill represents the citizens of Amador, Calaveras, Inyo, Mariposa, Mono, Tuolumne counties as well as parts of Fresno, Madera, Sacramento, Stanislaus, and Tulare counties.  One of the largest and most spectacular districts in the Legislature <--TOKEN> the 8th Senate District includes Yosemite National Park, the gorgeous farm lands of the Central Valley, and the spectacular foothills of the Sierra. This region makes some of the nation<'-TOKEN>s best wine, grows most of its food, and produces the milk and cheese millions of people enjoy. Small business is the backbone of the area. Agriculture, wine making, tourism, and manufacturing--just a few of the region<'-TOKEN>s industries--contribute billions of dollars to the state<'-TOKEN>s economy.

Tom is a fourth-generation California farmer who has been active in many community groups, business organizations, and efforts to improve the quality of life in his community. He attended California Polytechnic University, San Luis Obispo, and is a strong supporter of California<'-TOKEN>s public schools and universities.

Tom was elected to the Assembly in 2006 where he served on the Assembly Utilities and Commerce and Water, Parks, and Wildlife committees. He also served as Vice Chair of the Assembly Agriculture and Human Services committees.

Elected to the Senate in 2010 and reelected in 2014, Tom serves on the Agriculture; Business, Professions and Economic Development; Governmental Organization; Human Services; and Insurance Committees.  He is Vice-Chairman of both Governmental Organization and Human Services. As former Chair of the Senate Agriculture Committee and Vice Chair of the Rural Caucus, ensuring rural California has a voice in Sacramento remains his top priority. He continues to fight for a repeal of the fire tax, to protect both the Williamson Act, and rural public safety funding, as well as reforms that safeguard taxpayer dollars. In the Assembly, Tom was a member of the water bond working group. He continues his work on this issue in the Senate. Some of Tom<'-TOKEN>s legislative highlights include:

AB 844 (2007) - Confronts the issue of metal theft by requiring payment by check with a three-day hold in order to eliminate the quick cash that motivates drug users to commit this crime.
AB 1559 (2007) - Addresses the critical nursing shortage by ensuring that those admitted to nursing school are adequately prepared to complete the programs.  This will increase the graduation rate and result in more nurses for California.
AB 1254 (2009) - Expands hunting opportunities on private and public lands, and does it in a way that improves habitat restoration.
SB 361 (2011) <--TOKEN> Permits the Center for Advanced Research and Technology (CART), operated jointly by Fresno Unified School District (FUSD) and Clovis Unified School District (CUSD), to carry on its innovative educational program.
SB 752 (2011) <--TOKEN> Allows hunters purchasing a hunting license, stamp, or tag to voluntarily release their contact information to the game conservation or hunting-related organization of their choice.
SB 607 (2013) <--TOKEN> Allows employers and employees to devise a flexible work schedule.
Tom was named the 2013 Small Business Senator of the Year, the American Nurses Association<'-TOKEN>s California Legislator of the Year for 2008, Friends of California Community Colleges Award for 2008. Tom also received a Certificate of Recognition from the California Association of County Veteran Service Officers in 2010, a Certificate of Excellence from the California Federation of Dog Clubs in 2008; Outstanding Legislator of the Year from the California Sheriffs<'-TOKEN> Association in 2007, 2008, and 2009, and Outstanding Legislator from the California Rifle and Pistol Association in 2010. In 2012, the California Waterfowl Association recognized him with the Grant Kenyon Award for outstanding advocacy on the behalf of waterfowl, their habitats, and hunting heritage. He was also named 2012 Legislator of the Year by Donate Life, California.

Senator Berryhill is married to Loretta, has two daughters, and has been known to say, <""-TOKEN>For a guy who likes to ski, hunt, and fish, the 8th Senate District is pretty darn perfect.<""-TOKEN>"
Senator,Marty Block,"Senator Marty Block was elected in November of 2012 to represent California<'-TOKEN>s 39th Senate District, including the cities of San Diego, Coronado, Del Mar, and Solana Beach.  He chairs the Senate Education Budget Subcommittee, the Senate Committee on Banking and Financial Institutions, the Capitol Knesset, and the Legislative Jewish Caucus.

Senator Block was elected to the California State Assembly in 2008 where he represented the 78th Assembly District until his election to the Senate. He served as chair of the Assembly Higher Education Committee for three years.

Senator Block previously served for 8 years as a member of the San Diego County Board of Education and then served 8 years as President of the San Diego Community College District Board of Trustees.  During that period he also served as a San Diego Superior Court Judge pro Tem, Statewide President of the California County Boards of Education, President of the San Diego Chapter of the American Jewish Committee, and Founding Chair of the San Diego Latino/Jewish Coalition.

LEGISLATION

MAJOR LEGISLATION

In his time in the legislature, Senator Block has helped California progress on a number of key education, public safety, veterans, economic and other policy areas.  Some of his notable legislative work subsequently signed into law include:

SB 850 (link is external):  Community College Baccalaureate Degrees:  This game-changing legislation for higher education will allow a number of community college districts across the state to develop 4-year degree programs, increasing access for quality higher education in areas that have a demonstrated workforce need.

AB 1731 (link is external):  Newborn Heart Screening: Newborns today now receive a pulse oximetry screening as part of the range of tests performed at birth, which helps identify correctable heart issues before they become life threatening.

SB 939 (link is external):  Human Trafficking Court Consolidation: Allows courts in different parts of the state to consolidate all charges and trials at one location, saving the courts time and budget, and protecting victims from testifying against their traffickers multiple times.   

AB 1904 (link is external):  Military Spouses Professional Licenses: Improves the opportunity for spouses of military service members relocated to California to quickly apply for temporary professional licenses, continuing their career and income uninterrupted while they apply for a permanent license. 

AB 2402 (link is external):  CSU Admissions Processes:  Requires the California State University (CSU) to follow specified public notice criteria prior to adopting a change in the admissions criteria that affects students in the CSU campus local service area.

AB 2058 (link is external):  Unemployment Benefits and Workforce Development:  Established the California Training Benefits Program in order to allow unemployed persons to receive unemployment benefits while enrolled in a training program on a full-time basis.

SB 911 (link is external):  Training and Whistleblower Protections for Senior Care Facilities:  Increased the training requirements for licensees, administrators, and direct care staff of residential care facilities for the elderly (RCFEs). Prohibits discrimination or retaliation in any manner against a resident or employee for calling 911.

LEGISLATIVE HONORS

Since his election to the Legislature, Senator Block has been honored as the Legislator of the Year by the:

California School Boards Association
California Probation, Parole and Correctional Association
California Federation of Teachers
Junior Leagues of California
California Community Colleges Baccalaureate Association
Chief Probation Officers of California
American Legion of California
Crime Victims United of California
Faculty Association of California Community Colleges
Multiple Sclerosis Society <--TOKEN> Pacific South Coast Chapter
Consumer Attorneys of San Diego
San Diego Deputy District Attorney<'-TOKEN>s Association
San Diego and Imperial Counties Labor Council
He has also received:

the March of Dimes Legislative Champion Award,
the Courageous Leadership Award from the San Diego Regional Chamber of Commerce,
the 2013 Solar Champion Award,
the Distinguished Service Award by the Board of Governors of the California Community Colleges,
the Filipino American Lawyers of San Diego President<'-TOKEN>s Award and
the infrequently bestowed Lanterman Award from the California Association for Postsecondary Education and Disability,
the Oral Health Policy Champion Award from the County of San Diego HHSA
Senator Block was also named Commander, Civil Air Patrol Legislative Squadron (U.S. Air Force Auxiliary) and received a medal from Hazel<'-TOKEN>s Army for his legislative work on senior care facilities.

CAREER EDUCATOR AND ATTORNEY

Senator Block served as a dean, professor, and legal advisor at San Diego State University for 26 years. While at SDSU he also served as the Founding Chair and Director of the National Higher Education Law and Policy Institute. Block received outstanding faculty awards five times and was given the university<'-TOKEN>s Distinguished Service Award upon his retirement.

Prior to this work at San Diego State University, Block served as the Director of Student Legal Services at Western Illinois University, and prior to that he taught history for five years in Skokie, Illinois.

EDUCATION

After attending Syracuse University, Senator Block earned his B.A. in Political Science and Education from Indiana University, and his J.D. from DePaul University in Chicago.  He has lived in the 39th Senate District for more than 30 years."
Senator,Anthony Cannella,"In November 2010, Ceres small-business owner Anthony Cannella was elected to represent the 12th District in the California State Senate.

Anthony currently serves as vice chairman of the Transportation and Housing Committee and Agriculture Committee. He is also a member of the Senate Rules Committee, Senate Energy, Utilities and Communications Committee and the Joint Legislative Audit Committee.

During his first term in the State Senate, Anthony helped enact reforms that will create new jobs, make neighborhoods safer, and increase funding for local schools by up to $2700 per student.

As vice-chairman of the Agriculture Committee, Anthony authored a measure to build new water storage facilities so farms will always have the water they need to keep our people working. Anthony also authored a measure that would fund efforts to clean up our drinking water.

An independent-minded legislator who will work across party lines to help improve the lives of those he represents, Anthony used his skills as a trained engineer to save tax dollars and cut government waste.

Prior to his election to the State Senate, Anthony served on the Ceres City Council and was twice elected mayor of that city. Under his leadership, the City of Ceres repeatedly produced balanced budgets, and built financial reserves exceeding twenty-five percent of its annual budget by cutting costs, and streamlined decision-making to make government more efficient.

Raised with an appreciation for public service that he learned from his father, former Assemblyman Sal Cannella, Anthony is a lifelong Central Valley resident.

Anthony is a civil engineer, and has founded two successful engineering businesses.

Anthony and his wife Julie have four children."
Senator,Kevin de Leon,"The first Latino elected President pro Tempore of the California State Senate in more than 130 years, Senator Kevin de Le<O-TOKEN>n (D-Los Angeles) is setting a bold agenda to give every kid a fair shot at a higher education, and to combat climate change while building a new, low-carbon economy with opportunities for all Californians. Leading the Senate of the largest state in the union, Senator de Le<O-TOKEN>n takes on challenging issues that strengthen the national reach of California<'-TOKEN>s policy-making. As co-chair of Proposition 39 <--TOKEN> the California Clean Energy Jobs Act <--TOKEN> Senator de Le<O-TOKEN>n convinced voters to close a corporate tax loophole to generate billions of dollars and fund more than 40,000 California jobs that improve energy efficiency and expand clean energy generation in schools. This year, Senator de Le<O-TOKEN>n<'-TOKEN>s Democratic caucus has introduced legislation to strengthen California<'-TOKEN>s climate leadership by pursuing standards that will reduce petroleum use by 50 percent, set a 50 percent renewable energy standard for the state<'-TOKEN>s utilities and increase building energy efficiency by 50 percent, all by 2030. Senator de Le<O-TOKEN>n also has introduced a bill to require the state<'-TOKEN>s public employee pension funds to divest from coal and, by 2050, increase the state<'-TOKEN>s overall climate pollution reduction target to 80 percent below 1990 levels. Senator de Le<O-TOKEN>n was elected to the State Assembly in 2006 and elected to the State Senate in 2010. In 2012, Senator de Le<O-TOKEN>n authored Senate Bill 1234 <""-TOKEN>Secure Choice Act<""-TOKEN> which created a first-in-the-nation retirement savings program for over 6.3 million workers in California<'-TOKEN>s private sector. The New York Times called his efforts to provide retirement security to millions of low-income workers <""-TOKEN>a model for addressing a national problem.<""-TOKEN> Other legislative accomplishments include trailblazing authorship of the 'Yes Means Yes' bill to protect college students against violence and sexual abuse; Assembly Bill 31 which allocated local park assistance funds to communities lacking parks and green space, resulting in 126 park projects across the state; Workers<'-TOKEN> Compensation reform that lowered insurance costs for businesses, while increasing workers<'-TOKEN> benefits; and lead negotiator for the expansion of California<'-TOKEN>s Film and Television Tax Credit to keep Hollywood<'-TOKEN>s production jobs at home in the Golden State. Long before being arriving at the Legislature, de Le<O-TOKEN>n dedicated himself to public service and served immigrant communities through teaching U.S. citizenship courses. The work led him to community organizing and taking a stand against 1994<'-TOKEN>s Proposition 187, a voter-approved statewide initiative that denied government services to undocumented immigrants. In response, Senator de Le<O-TOKEN>n organized the largest civil rights march in California history. Twenty years later, Senator de Le<O-TOKEN>n continues to fight for immigrants<'-TOKEN> rights. He authored Senate Bill 396 erased the language of Prop 187 from California law in addition to first-in-the-nation legislation to prevent the unnecessary separation of families, protecting them from legal complications due to differences in immigration status. In 2013, he brokered a compromise with Governor Jerry Brown to ensure signage of Assembly Bill 60, a law which allowed undocumented immigrants to obtain drivers licenses so they could drive to work, maintain insurance and step out of the shadow economy. De Leon credits his immigrant mother for teaching him the nobility of a hard day<'-TOKEN>s work and our shared obligation to build a brighter future for the next generation. He was the first in his family to graduate from high school, later earning a degree with Honors from Pitzer College. He is a Rodel Fellow at the Aspen Institute and a guest lecturer at the University of Southern California. His daughter is a student in college. - See more at: http://sd24.senate.ca.gov/biography#sthash.izhPgvFL.dpuf"
Senator,Jean Fuller,"State Senator Fuller represents the 16th Senate District, which is comprised of large portions of Kern, Tulare and San Bernardino Counties including the communities of Bakersfield, Barstow, California City, Exeter, Frazier Mountain, Joshua Tree, Mojave, Needles, Ridgecrest, Rosamond, Taft, Tehachapi, Twentynine Palms, Tulare, Visalia, Yucca Valley and areas in the Kern River Valley.

Background
Jean Fuller was born and raised in Kern County. She served as an educator in the Central Valley for more than 30 years, including time as Superintendent of the Bakersfield City School District.

The first in her family to graduate from college, Jean attended Bakersfield College, California State University Fresno and California State University Los Angeles, and then continued her formal education at the University of California, Santa Barbara where she received her PhD. She supplemented her education with coursework and seminars at the University of Southern California, Harvard University, and Exeter College at Oxford University.

Senator Fuller was reelected to Senate in 2014 and represents the 16th Senate District. She has been a member of the California Legislature since her election to the 32nd Assembly District in 2006. Jean and her husband, Russell, a retired engineer, live in Bakersfield.

Senate Priorities
Senator Fuller<'-TOKEN>s legislative priorities this year includes reducing regulations that burden California<'-TOKEN>s businesses that prevent them from hiring, or rehiring, workers. Jean believes that putting more people to work and solving each Californian<'-TOKEN>s personal budget crisis is the key to California<'-TOKEN>s economic rebound.

As Vice Chair of the Rules Committee, Senator Fuller considers for confirmation those individuals appointed to state agencies, departments, boards and commissions.

Also the Vice Chair of the Energy, Utilities and Communications Committee, Senator Fuller will focus on policy relating to our energy resources and emerging technologies.

Senator Fuller sits on the Natural Resources and Water Committee, where she will continue her focus on our natural resources and the area of water policy.

Senator Fuller also sits on the Environmental Quality Committee, where she will consider ways to modernize the California Environmental Quality Act that will lead to the reduction of unnecessary litigation and the creation of much-needed jobs, while still protecting the state<'-TOKEN>s natural resources.
As a member of the Joint Legislative Audit Committee, Senator Fuller will consider and request investigations and studies into the financial practices and the performance of governmental entities in California.

Additionally, Senator Fuller is a member of the State Allocation Board, Wildlife Conservation Board and is the chairwoman of the Select Committee on Valley Fever.

Accomplishments
While leading the Bakersfield City School District, Jean was recognized as the California Superintendent of the Year by the American Association of School Administrators.

During her tenure in the Assembly, Jean served as the leader of the Republican Water Policy Team that focused on finding solutions to California's water crisis to ensure sufficient water supplies for families, farmers, and businesses in the Central Valley. She also served as Chair of the Rural Caucus, a bipartisan group of 43 Assembly Members and Senators who provided a strong, united voice for residents of rural communities.

Jean<'-TOKEN>s top legislative priorities in the Assembly were expanding career technical education programs for high school students, increasing local jobs, reducing unnecessary regulation of California's small business and manufacturers, and reducing the tax burden on hard-working families.

Recently, Jean has been recognized in the Senate as the California Communications Association (CalCom) Legislator of the Year. She has also received high scores annually from both the California Chamber of Commerce and the National Federation of Independent Business groups."
