"Alameda County District Attorney's Office",
"California College and University Police Chiefs Association",
"California District Attorneys Association",
"California Peace Officers' Association",
"California Police Chiefs Association",
"California Probation , Parole and Correctional Association",
"California Reserve Peace Officers Association",
"California State Lodge, Fraternal Order of Police",
"City of California City",
"City of Lancaster",
"City of Murieta",
"City of Palmdale",
"California College and University Police Chiefs Association",
"Crime Victims United",
"Long Beach Police Officers Association",
"Los Angeles County Professional Peace Officers Association",
"Los Angeles County Sheriff's Department",
"Phelan Piñon Hills Community Services District",
"Sacramento County Deputy Sheriffs' Association",
"San Bernardino County Sheriffs' Office",
"Santa Ana Police Officers Association",
"WEAVE, Inc."
