"PAYMENTS FOR LEGISLATIVE, GOVERNMENTAL OR CHARITABLE ACTIVITIES",,,,,,,,,,,,
SENATE 2014,,,Last updated 2/20/2015,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
OFFICIAL,DATE OF PAYMENT,PAYOR,CITY,STATE,AMOUNT,PAYEE,CITY,STATE,DESCRIPTION,LGC PURPOSE,NOTICE RECEIVED,YTD AMOUNT BY MEMBER
"Anderson, Joel",12/03/14,Barona Band of Mission Indians,Lakeside,CA,"5,000",Shoal Creek Elementary School,San Diego,CA,"Donation to fund computer equipment, and the purchasing of electronic science curriculum for Shoal Creek Elementary School",Charitable,01/09/15,
,,,,,,,,,,,,"5,000"
"Berryhill, Tom",03/31/14,Barona Band of Mission Indians,Lakeside,CA,"5,000",Cardozo Middle School,Riverbank,CA,Barona Education Grant to help school purchase approximately 275 books to update the student library,Charitable,04/08/14,
,,,,,,,,,,,,"5,000"
"Block, Marty",11/08/14,Barona Band of Mission Indians,Lakeside,CA,"5,000",Loma Portal Elementary School,San Diego,CA,Education grant for purchase of library books and materials,Charitable,12/10/14,
,,,,,,,,,,,,"5,000"
"Correa, Luis",01/28/14,Jim Antonowitsch,Laguna Nigel,CA,"5,000",Orange County Family Justice Center Foundation,Anaheim,CA,Donation to community service organization supporting children who have been victims of child abuse,Charitable,02/10/14,
,02/10/14,Pat and Jolynn Mahoney,Anaheim,CA,"5,000",Orange County Family Justice Foundation,Anaheim,CA,Donation to community service organization ,Charitable,02/27/14,
,,,,,,,,,,,,"10,000"
"DeLeon, Kevin",02/28/14,SEIU California State Council,Sacramento,CA,"100,000",California Secure Choice Retirement Savings Investment Board,Sacramento,CA,To assist with the funding of the market analysis and feasibility study for the California Secure Choice Retirement Savings Program,Governmental,03/11/14,
,03/14/14,Laura and John Arnold Foundation,Houston ,TX,"100,000",California Secure Choice Retirement Savings Investment Board,Sacramento,CA,To assist with the funding of the market analysis and feasibility study for the California Secure Choice Retirement Savings Program,Governmental,04/03/14,
,06/11/14,AARP,Washington,DC,"60,000",California Secure Choice Retirement Savings Investment Board,Sacramento,CA,To assist with the funding of the market analysis and feasibility study for the California Secure Choice Retirement Savings Program,Governmental,06/20/14,
,12/11/14,The California Endowment,Los Angeles,CA,"50,000",California Secure Choice Retirement Savings Investment Board,Sacramento,CA,To assist with the funding of the market analysis and feasibility study for the California Secure Choice Retirement Savings Program,Governmental,12/30/15,
,12/17/14,Paramount Pictures,Hollywood,CA,"6,100",El Centro del Pueblo,Los Angeles,CA,Senator's Toy Drive co-hosted by El Centro del Pueblo,Charitable,02/12/15,
,12/30/14,Wal-mart Stores Inc,Bentonville,AR,"5,000",El Centro del Pueblo,Los Angeles,CA,Senator's Toy Drive co-hosted by El Centro del Pueblo,Charitable,01/12/15,
,,,,,,,,,,,,"321,100"
"Galgiani, Cathleen",10/31/14,Pacific Gas and Electric Company,Sacramento,CA,"1,000",Children's Home of Stockton,Stockton,CA,Donation to Children's Community Service Organization,Charitable,11/18/14,
,10/31/14,Pacific Gas and Electric Company,Sacramento,CA,"1,000",Boys and Girls Club of Manteca,Manteca,CA,Donation to Children's Community Service Organization,Charitable,11/18/14,
,11/12/14,Pacific Gas and Electric Company,Sacramento,CA,"1,000",Stanislaus Family Justice Center Foundation,Modesto,CA,Donation to Community Service Organization,Charitable,11/18/14,
,11/12/14,Pacific Gas and Electric Company,Sacramento,CA,"1,000",Catholic Council for the Spanish Speaking of the Stockton Diocese,Stockton,CA,Donation to Children's Community Service Organization,Charitable,11/18/14,
,11/12/14,Pacific Gas and Electric Company,Sacramento,CA,"1,000",Boys and Girls Club of Tracy,Tracy,CA,Donation to Children's Community Service Organization,Charitable,11/18/14,
,,,,,,,,,,,,"5,000"
"Hueso, Ben",03/11/14,Wells Fargo,San Diego,CA,"5,000",Mariachi Scholarship Foundation,National City,CA,Fundraising musical festival for the Mariachi Scholarship Foundation,Charitable,04/09/14,
,04/16/14,Verizon Wireless,Folsom,CA,"5,000",International Children's Cancer Foundation,San Diego,CA,Annual Fundraiser for ICCF,Charitable,12/23/14,
,04/29/14,Pepsi Co,Plano,TX,"15,000",International Children's Cancer Foundation,San Diego,CA,Annual Gala Fundraiser for ICCF,Charitable,06/23/14,
,05/19/14,American Beverage Association,Washington,DC,"10,000",International Children's Cancer Foundation,San Diego,CA,Annual Gala Fundraiser for ICCF,Charitable,06/23/14,
,12/04/14,Barona Band of Mission Indians,San Diego,CA,"5,000",Our Lady's School,San Diego,CA,Annual California Education Tribe Grant,Charitable,12/23/14,
,,,,,,,,,,,,"40,000"
