name,hard_coded_name,normed_name,oid,name_1,oid_1,name_2,oid_2,name_3,oid_3,name_4,oid_4,name_5,oid_5,name_6,oid_6,name_7,oid_7,name_8,oid_8,name_9,oid_9,name_10,oid_10,name_11,oid_11,name_12,oid_12,name_13,oid_13,name_14,oid_14,name_15,oid_15,name_16,oid_16,name_17,oid_17,name_18,oid_18,name_19,oid_19,name_20,oid_20,name_21,oid_21,name_22,oid_22,name_23,oid_23,name_24,oid_24,name_25,oid_25,name_26,oid_26,name_27,oid_27
1 Bag at a Time,,1 bag at a time,98694,"1 Bag at a Time, Inc.",103994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 Plus 1 Senior Care,,1 plus 1 senior care,28074,"1 Plus 1 Senior Care, Inc.",104133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1-800 Contacts, Inc.",,1-800 contacts,293,1-800 Contacts,117854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1818 Nadlan LLC,,1818 nadlan,114525,"1818 Nadlan, LLC",117181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184 Kent Fee LLC,,184 kent fee,120915,"184 Kent Fee, LLC",123772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1G Racing, Inc.",,1g racing,1840,1G Racing Inc,113658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007 California Groundwater Coalition,,2007 california groundwater coalition,2778,2007 California Groundwater Coalition,112977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008),,200,102898,2005),102900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211 San Diego,,211 san diego,3500,211 San Diego,112144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21St Century Insurance Group,,21st century insurance group,400,21St Century Insurance Group,114183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22ND District Agricultural District,,22nd district agricultural district,3953,22Nd District Agricultural District,110508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23ANDME,,23andme,3390,23Andme,112270,"23andme, INC",121663.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 Hour Fitness,,24 hour fitness,405,24 Hour Fitness,109394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 individuals,,3 individuals,96589,3 Individuals.,102336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3)Related Legislation.,,related legislation,98777,Related Legislation,99807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380 Development LLC,,380 development,115041,"380 Development, LLC",123356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3CORE, Inc.",,3core,95649,3CORE,97599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3D Robotics, Inc.",,3d robotics,60766,3D Robotics,105652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M,,3m,33,3M,109291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3M Health Information Systems, Inc.",,3m health information systems,4568,3M Health Information Systems Inc,110717,"3m Health Information Systems, INC",120702.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M Security Systems Division,,3m security systems division,607,3M Security Systems Division,114027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M Traffic Control Materials Division,,3m traffic control materials division,35,3M Traffic Control Materials Division,114304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M Traffic Safety Systems Division,,3m traffic safety systems division,12245,3M Traffic Safety Systems Division,111003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442 LLC,,442,2075,442 LLC,113561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50 State LLC On Behalf Of War Horse,,50 state llc on behalf of war horse,19187,50 State LLC On Behalf Of War Horse,108970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"50can, Inc.",,50can,115085,50can,121529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5T Wealth Management, LLC",,5t wealth management,45034,5T wealth management,101302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 Beds,,6 beds,43027,"6 Beds, Inc.",95241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6BEDS, Inc.",,6beds,5172,6Beds Inc,109714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-11,,7-11,8638,"7-11, Inc.",41257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-Eleven Inc.,,7-eleven,272,"7-eleven, Inc.",119072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73-74 York LLC,,73-74 york,120532,"73-74 York, LLC",122552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"88 Greenwich Owner, LLC",,88 greenwich owner,121047,88 Greenwich Owner LLC,122129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
880 Pharmacy Inc.,,880 pharmacy,28019,880 Pharmacy Inc,108700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8MINUTENERGY Renewables,,8minutenergy renewables,4376,8Minutenergy Renewables,111296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@Business,,@business,76198,"@Business, Inc.",97593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Place For Mom,,a place for mom,5506,A Place For Mom,109191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A. Teichert & Son, Inc.",,a. teichert & son,15464,A. Teichert & Son,99843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A.M. Ortega, Inc.",,a.m. ortega,103187,A.M. Ortega,107224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A123 Systems,,a123 systems,2987,A123 Systems,112586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A2 Holdings, LLC",,a2 holdings,2242,A2 Holdings LLC,113491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaa New York State,,aaa new york state,117266,"Aaa New York State, Inc.",117531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
