CA Conference Board of the Amalgamated Transit Union
"CA Conference of Machinists",
"California Federation of Teachers",
"California Labor Federation, AFL-CIO",
"California Professional Firefighters",
"California Rural Legal Assistance Foundation",
"California School Employees Association",
"California Teamsters Public Affairs Council",
"Consumer Attorneys of California",
"Engineers & Scientists of CA, IFPTE Local 20",
International Longshore & Warehouse Union
Professional & Technical Engineers, IFPTE Local 21
UNITE-HERE
Utility Workers Union of America
